# freq_Hz, amplitude_linear, amplitude_dBm, phase_rad
-1.000000000000000000e+08,1.832531370748446140e-04,-6.172867168376724578e+01,6.002345550357390813e-01
-9.600000000000000000e+07,1.927107411392023535e-04,-6.129158161039842412e+01,6.083010451670280982e-01
-9.200000000000000000e+07,1.295005273404669787e-04,-6.474426930503969402e+01,8.430775596086175216e-01
-8.800000000000000000e+07,1.594876768628358398e-04,-6.293515740235842770e+01,7.931015534264385103e-01
-8.400000000000000000e+07,1.673129963191439401e-04,-6.251910650678162540e+01,4.646186409870021738e-01
-8.000000000000000000e+07,7.176586513252531231e-05,-6.987134155116717693e+01,1.164761879925886534e+00
-7.600000000000000000e+07,6.604945290299770204e-05,-7.059231555050921258e+01,1.136457892000388936e+00
-7.200000000000000000e+07,1.927179812346088564e-04,-6.129125528977919402e+01,3.659035956683307500e-01
-6.800000000000000000e+07,9.078121091883469506e-05,-6.782978061449202301e+01,6.704331705716074508e-01
-6.400000000000000000e+07,-3.039514419450023708e-06,-9.733361588301104916e+01,1.597514697144048812e+00
-6.000000000000000000e+07,1.457247653609909091e-04,-6.371903274912106241e+01,3.435240599352372137e-01
-5.600000000000000000e+07,4.263192516319896037e-06,-9.439500114604697956e+01,1.542565510454883881e+00
-5.200000000000000000e+07,3.607219477857852974e-05,-7.584624869617374543e+01,1.344155027428751259e+00
-4.800000000000000000e+07,1.165071054152037210e-04,-6.566265179388517481e+01,6.995716956041694301e-01
-4.400000000000000000e+07,2.569077493498885759e-04,-5.879415595342944556e+01,5.023044824889569826e-01
-4.000000000000000000e+07,1.580783056147659702e-04,-6.301225459895738368e+01,3.697139544609919642e-02
-3.600000000000000000e+07,6.369173112985367807e-05,-7.090803898151267504e+01,1.099998639979323567e+00
-3.200000000000000000e+07,1.664404118629010014e-04,-6.256452440736305221e+01,6.818403500516505567e-01
-2.800000000000000000e+07,1.869185628408435681e-04,-6.155665137918335006e+01,7.526959743703622863e-01
-2.400000000000000000e+07,1.630597971739485008e-04,-6.274276208775667385e+01,6.089726890341279342e-01
-2.000000000000000000e+07,7.636414150103807590e-05,-6.933191056923308793e+01,9.335782034247597228e-01
-1.600000000000000000e+07,2.041517234522367201e-04,-6.079063903144592018e+01,1.079856303149542285e-01
-1.200000000000000000e+07,1.314184388109610184e-04,-6.461657396992754343e+01,3.196344670207529881e-01
-8.000000000000000000e+06,1.302091389317293747e-04,-6.469687070459498557e+01,7.925584206236090390e-01
-4.000000000000000000e+06,1.927454120186136699e-04,-6.129001905948015860e+01,5.712889732170842727e-01
0.000000000000000000e+00,1.794031398625677519e-04,-6.191309924990618185e+01,4.519434812231806209e-01
4.000000000000000000e+06,1.033867268873902065e-04,-6.670040431840997996e+01,1.077027921338026939e+00
8.000000000000000000e+06,1.769173397819513683e-04,-6.203429203382952295e+01,3.053846577976850885e-01
