Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5149000000.0,-121.91331210096399,-124.77881878133572,-125.0733997155597,-2.3731486820262617
5148990000.0,-121.41347190098213,-124.12068760604235,-124.74960520132292,-2.392366304366732
5148980000.0,-120.88412492279102,-125.04987131549012,-122.98268040459304,-2.2383051223339767
5148970000.0,-120.57686650338735,-124.11330850410144,-123.11793341618423,-2.299021095179404
5148960000.0,-120.44151061544056,-123.95015060368064,-123.00481271862644,-2.301883582921992
5148950000.0,-122.65784236233385,-125.67591894350807,-125.66037959464089,-2.355299973843105
5148940000.0,-120.31913641669144,-123.67533886430311,-123.0090631424768,-2.317878134319453
5148930000.0,-120.87197996161201,-124.37818893104051,-123.43723853801737,-2.3021346656288117
5148920000.0,-121.35926678166241,-125.93425083161137,-123.22172183206857,-2.2025266319256596
5148910000.0,-121.00684660928336,-124.27988933698464,-123.76939666746948,-2.326825073143382
5148900000.0,-121.38773377017985,-125.93041591672893,-123.26758527898527,-2.2052557955808694
5148890000.0,-121.40377314488387,-124.90046005945806,-123.97671410317633,-2.3031193542231385
5148880000.0,-121.96387740001599,-125.5977425073294,-124.42900616918087,-2.2891187181074226
5148870000.0,-121.73093153985437,-126.54607484228107,-123.47004427871755,-2.1827132000469356
5148860000.0,-121.34674823825557,-124.26664706301298,-124.44937115827797,-2.36671215890122
5148850000.0,-120.98083040081656,-125.21166775505947,-123.03943265038058,-2.232434024060611
5148840000.0,-120.62116072528883,-124.66471699457777,-122.79739798237796,-2.24952152867334
5148830000.0,-121.37427952668702,-124.34126985693905,-124.42832536523711,-2.3612057241856963
5148820000.0,-120.41810375165873,-123.71766973686601,-123.15720724349652,-2.323954040366912
5148810000.0,-120.42388341353083,-123.11258889693924,-123.78151003073245,-2.3946626795215455
5148800000.0,-122.11608472618381,-125.5802662158301,-124.71548201954681,-2.3064955500148607
5148790000.0,-122.04205148728967,-127.47489071771015,-123.50647229766406,-2.1353102803341995
5148780000.0,-121.40766156047272,-124.33841438015023,-124.49899289998491,-2.365437606339728
5148770000.0,-121.15228994775848,-127.09725273925747,-122.4271852815506,-2.099452052463871
