PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm,Phase_rad
1e-08,1.147597058627915e-06,-105.79391151439933,1.125011797987197e-06,-105.96655850509931,0.2766495285629959
1.0995e-07,1.0464237927143554e-06,-106.59554792897269,1.1491728013512943e-06,-105.78199327236806,0.20966145147749896
2.0990000000000002e-07,1.2802813597770497e-06,-104.84359159460897,1.1625988417076067e-06,-105.68110232466424,0.2499541801346284
3.0985000000000004e-07,1.2184561424227205e-06,-105.27350201055866,1.17481735409239e-06,-105.59029297972428,0.18626297754767837
4.0980000000000003e-07,1.1998219539849331e-06,-105.40736395805455,1.187461726976631e-06,-105.49730762741318,0.27591638746416014
5.097500000000001e-07,1.2987694074854977e-06,-104.71905903800916,1.201144961888245e-06,-105.39779156309521,0.289933542803676
6.097000000000001e-07,1.2610646974717552e-06,-104.97495268090407,1.216144106597067e-06,-105.28999925199776,0.17282911300047601
7.096500000000001e-07,1.2256770844725479e-06,-105.22217871318477,1.23258616530825e-06,-105.17335426636443,0.30080362385870973
8.096e-07,1.2261590801480823e-06,-105.21876367154533,1.2505182529315019e-06,-105.04789933930964,0.27604776120708996
9.0955e-07,1.2178548111341945e-06,-105.27778972047228,1.2699395265983584e-06,-104.91403922880707,0.34889328693882293
1.0095e-06,1.2900268912885856e-06,-104.77772477355322,1.290817682136936e-06,-104.7724019251173,0.3853436966442348
1.10945e-06,1.2568121006254026e-06,-105.00429297430777,1.313098325392042e-06,-104.62375509390304,0.3835262064850199
1.2094e-06,1.2988618012590083e-06,-104.71844115036014,1.3367107222997544e-06,-104.46895140899498,0.31759600194225557
1.30935e-06,1.3072357518659963e-06,-104.66262170411916,1.3615715698319218e-06,-104.30889055156435,0.3641332086468231
1.4093e-06,1.3002505416489885e-06,-104.7091591761168,1.387587622069838e-06,-104.1444917018096,0.40994249997643434
1.50925e-06,1.3525615916380512e-06,-104.36655902916335,1.4146576230812483e-06,-103.97667315991286,0.4203447618079787
1.6092e-06,1.4395124335946218e-06,-103.82539163555315,1.4426738039838276e-06,-103.80633712411324,0.43902050465708664
1.70915e-06,1.399513743023073e-06,-104.07015669271448,1.4715230971014117e-06,-103.63435837941188,0.5200235273499266
1.8091e-06,1.5633165453691462e-06,-103.1087615579851,1.5010881611887696e-06,-103.4615760480161,0.47162964633221366
1.90905e-06,1.4222535868272953e-06,-103.93015928931052,1.5312482770854285e-06,-103.28878778228469,0.4874479401745093
2.009e-06,1.55289652147334e-06,-103.16684970084829,1.5618801521062243e-06,-103.11674592213551,0.5325391719243758
2.10895e-06,1.5091664557795186e-06,-103.41495717177594,1.5928586582802762e-06,-102.94615523232562,0.6516076591222651
2.2089e-06,1.540137465281012e-06,-103.23851033119416,1.624057521059125e-06,-102.77767190195442,0.5463762925463375
2.30885e-06,1.6109549885021121e-06,-102.84803192297396,1.6553499695253065e-06,-102.61190354014771,0.5929141249920283
2.4088e-06,1.6049212911719406e-06,-102.88062527300205,1.6866093553800313e-06,-102.44940994402165,0.5843947126250254
2.50875e-06,1.6832256211815837e-06,-102.46685338080394,1.7177097454268165e-06,-102.29070445076889,0.6009934992890883
2.6087e-06,1.7728467727165725e-06,-102.01627602101317,1.7485264904950004e-06,-102.13625571664706,0.6504825648114154
2.70865e-06,1.8175755946074935e-06,-101.7998503912458,1.778936772507298e-06,-101.9864897926335,0.6206823373911778
2.8086e-06,1.7918067396883705e-06,-101.92387672716286,1.8088201305229907e-06,-101.84179239002407,0.721671640111081
2.90855e-06,1.8386090909064549e-06,-101.69991198071337,1.838058965973044e-06,-101.70251124962776,0.6680658004899128
3.0085e-06,1.8935926015546333e-06,-101.44396908146558,1.8665390268715966e-06,-101.56895854570776,0.6335083771781425
3.10845e-06,1.9276544436465324e-06,-101.2891163676666,1.8941498704891815e-06,-101.44141327069711,0.7068353805023917
3.2084e-06,1.987219745970537e-06,-101.02478216582742,1.9207853037717106e-06,-101.32012355922444,0.7099341943497167
3.3083500000000003e-06,1.940902980735164e-06,-101.22962350338717,1.946343800660796e-06,-101.20530892037627,0.7194377809651042
3.4083e-06,2.0183851331820475e-06,-100.8896192705854,1.9707288953978284e-06,-101.09716235564862,0.7069394548348764
3.5082500000000002e-06,1.9969903929058996e-06,-100.98218053180483,1.9938495508634254e-06,-100.99585234694572,0.7491342308069595
3.6082e-06,2.060137072599287e-06,-100.71177769526821,2.0156205010060444e-06,-100.90152470449289,0.77273774891013
3.7081500000000002e-06,1.9166508510210826e-06,-101.3388399171011,2.0359625664416498e-06,-100.81430426886028,0.7609682516870716
3.8081e-06,2.0789705390996546e-06,-100.63273334280206,2.0548029423549624e-06,-100.73429646463063,0.7668381686443818
3.90805e-06,2.1005943784407498e-06,-100.54285606532076,2.07207545789794e-06,-100.66158870575747,0.7261735466861091
4.008e-06,2.085558869313931e-06,-100.6052509786409,2.087720806359477e-06,-100.59625165450198,0.7533878390543023
4.10795e-06,2.1950353470191224e-06,-100.1608696803463,2.101686745469286e-06,-100.53834033713025,0.8174481386781949
4.2079e-06,2.1632121944457895e-06,-100.28771759395045,2.1139282672964945e-06,-100.48789512041137,0.7714524161586964
4.30785e-06,2.1172526610326863e-06,-100.47424629586955,2.1244077373078634e-06,-100.44494255347195,0.7781968314023257
4.4078e-06,2.1277535200760535e-06,-100.43127368998543,2.1330950022602825e-06,-100.40949607981358,0.7484002668900688
4.50775e-06,2.2634245659046213e-06,-99.894379540181,2.139967466716056e-06,-100.3815566243492,0.7676823691472366
4.6077e-06,2.0008439022732365e-06,-100.96543588208769,2.1450101380863346e-06,-100.36111306022228,0.7912164416334108
4.70765e-06,2.162555500252813e-06,-100.29035480137006,2.1482156402269498e-06,-100.34814255997864,0.7817927646698265
4.8076e-06,2.134439726385742e-06,-100.40402213456103,2.149584195730892e-06,-100.34261083540963,0.7739596531720043
4.90755e-06,2.1848259647292433e-06,-100.20136307597721,2.1491235771820386e-06,-100.34447227010455,0.8097156158153902
5.0075e-06,2.1460212736931485e-06,-100.357019586365,2.146849027754649e-06,-100.35366994847244,0.8128149100808951
5.1074500000000005e-06,2.2560302393972354e-06,-99.92280171235271,2.142783151661955e-06,-100.37013558474237,0.7871600060698666
5.2074e-06,2.079879737976804e-06,-100.62893556182624,2.136955775074231e-06,-100.39378935524928,0.7486315427938807
5.30735e-06,2.197326685993516e-06,-100.15180744043494,2.1294037782414186e-06,-100.42453963718344,0.8064809596665071
5.4073e-06,2.138154810863695e-06,-100.38891711037837,2.1201708996671194e-06,-100.46228265694583,0.7673709123877928
