PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm,Phase_rad
1e-08,3.3390636685007323e-06,-96.51720604014089,3.1539019971907835e-06,-97.01273616039867,1.0011878005900399
1.995e-08,3.349664467686205e-06,-96.48967391534231,3.16583178478628e-06,-96.97994334186647,0.9734435010868124
2.9899999999999996e-08,3.4364578798866997e-06,-96.26747953936295,3.178147862971889e-06,-96.94621806649354,0.9649719130002198
3.985e-08,3.311621006610815e-06,-96.58888746755042,3.190888121537152e-06,-96.91146849757111,0.9882571075221857
4.9799999999999996e-08,3.25576973873066e-06,-96.73662639871492,3.204081068789691e-06,-96.8756301243134,0.9610029498382618
5.975e-08,3.28969837399909e-06,-96.64657844006237,3.2177472595315912e-06,-96.83866146128464,1.0058588470274359
6.97e-08,3.4824006397309587e-06,-96.15212536474046,3.2318999507897946e-06,-96.80054188430708,1.0057849873294415
7.964999999999999e-08,3.3116577026408025e-06,-96.58879121985179,3.246545537460903e-06,-96.76127006626129,0.9814393697768645
8.96e-08,3.437540321190774e-06,-96.26474402343479,3.2616839173599857e-06,-96.72086259902109,0.9928329238388
9.955e-08,3.280241562702009e-06,-96.67158350153167,3.277308839534027e-06,-96.67935265614335,0.9797451816859094
1.095e-07,3.33716006135908e-06,-96.52215929595249,3.293408258021721e-06,-96.63678864068557,1.0050470262331348
1.1945e-07,3.20045366282401e-06,-96.8854691688591,3.309964700451995e-06,-96.59323279914888,0.9913179911861651
1.294e-07,3.3087978140304545e-06,-96.5962954401669,3.3269556549584923e-06,-96.54875979956459,0.9916590192857767
1.3935000000000001e-07,3.3602114727719987e-06,-96.46236783742104,3.3443539758638827e-06,-96.50345528029018,0.9953985004398486
1.493e-07,3.446662011136247e-06,-96.24172609493075,3.362128306922662e-06,-96.4574143804748,0.9884926353206784
1.5925e-07,3.4399317100040377e-06,-96.25870362369005,3.3802435199439283e-06,-96.41074026527322,0.9857804460684316
1.692e-07,3.4582311746231257e-06,-96.21261961389405,3.398661166036451e-06,-96.36354265964691,0.9905897187869392
1.7915e-07,3.3675924431793422e-06,-96.44330951738026,3.4173399363707958e-06,-96.31593640448182,1.0006733694609151
1.8910000000000002e-07,3.394768288057719e-06,-96.37349731139601,3.436236129153778e-06,-96.26804004806345,0.9663000741860973
1.9905e-07,3.432033319848352e-06,-96.27867013257722,3.455304119411741e-06,-96.21997448487349,1.027944620417344
2.09e-07,3.4718311267594734e-06,-96.1785281931107,3.4744968281531777e-06,-96.1718616523425,1.0002962202917636
2.1895e-07,3.470491307862888e-06,-96.18188082310587,3.4937661875104726e-06,-96.12382329471336,1.0337215568548257
2.289e-07,3.4824871350971345e-06,-96.15190962854221,3.5130635985336856e-06,-96.07597980162032,1.0435414652048385
2.3885e-07,3.5633208107191773e-06,-95.95260155843354,3.532340378418311e-06,-96.02844912743316,1.0208495604343741
2.488e-07,3.469758963744405e-06,-96.1837139155636,3.5515481940880553e-06,-95.98134579590607,1.0068352886541583
2.5875e-07,3.5987033775335056e-06,-95.86677901366015,3.5706394792183853e-06,-95.93477999324412,1.0086299083688937
2.687e-07,3.457563832307346e-06,-96.2142959104638,3.589567831973134e-06,-95.88885675138869,0.9955082524779608
2.7865e-07,3.5599187012293934e-06,-95.96089844351292,3.608288390931726e-06,-95.84367522214279,1.0029204616841112
2.886e-07,3.515668537263005e-06,-96.06954159600498,3.626758186905607e-06,-95.7993280417239,1.0595314961374642
2.9855e-07,3.5742743173265275e-06,-95.92594243234913,3.644936468576744e-06,-95.7559007844477,1.0103022987211163
3.085e-07,3.6142563618754465e-06,-95.82932096043807,3.66278500013601e-06,-95.71347150351139,1.05716215968999
3.1845e-07,3.625064044444659e-06,-95.8033863692022,3.6802683293525575e-06,-95.67211035625513,1.035694557049605
3.284e-07,3.4745382564057286e-06,-96.17175808653079,3.697354024764697e-06,-95.63187931082346,1.0283954174064323
3.3835e-07,3.6987064408008636e-06,-95.62870277201056,3.714012880945981e-06,-95.59283193081505,1.0633174807062957
3.483e-07,3.628452527236526e-06,-95.79527113587483,3.730219091065224e-06,-95.55501323428386,1.0717447528323274
3.5825e-07,3.6425030702295554e-06,-95.7617015132667,3.7459503862238742e-06,-95.51845962332268,1.0329183653533593
3.6820000000000003e-07,3.601982414728738e-06,-95.85886827904757,3.76118814131651e-06,-95.48319888040578,1.0677234706311391
3.7815e-07,3.6033237821994262e-06,-95.85563428187085,3.7759174474185673e-06,-95.44925022767481,1.0295749716089422
3.881e-07,3.6989689276457573e-06,-95.62808638060281,3.790127150957574e-06,-95.41662444540793,1.075175372729627
3.9805e-07,3.7254696939398176e-06,-95.56607934663062,3.803809860168878e-06,-95.3853240459984,1.0755044226209045
4.08e-07,3.855879143121542e-06,-95.26723178095375,3.816961919572112e-06,-95.35534349987833,1.071527170618202
4.1795e-07,3.7241321703704914e-06,-95.56919832733533,3.829583353429228e-06,-95.32666950993801,1.0668330114760125
4.279e-07,3.6818875923243223e-06,-95.66828953533144,3.841677779357365e-06,-95.29928133110573,1.0675300186329646
4.3785e-07,3.7040566472247824e-06,-95.61614764628851,3.853252293468805e-06,-95.27315113185603,1.0925211977992169
4.4779999999999997e-07,3.830064316090157e-06,-95.32557870556201,3.864317328594763e-06,-95.24824439450029,1.1165627287307822
4.5775e-07,3.7506832196029318e-06,-95.5074923342623,3.8748864873187035e-06,-95.22452035117522,1.1260451431618368
4.677e-07,3.7308266257002483e-06,-95.55359869294392,3.884976351697402e-06,-95.20193245248038,1.0865415114133576
4.7765e-07,3.883265287092763e-06,-95.2057588315378,3.89460627168342e-06,-95.18042886572181,1.10932031738803
4.876e-07,3.7694531313163825e-06,-95.46413308847019,3.903798134380286e-06,-95.15995299969342,1.064857569520487
4.9755e-07,3.907678539040346e-06,-95.15132344837812,3.912576116361248e-06,-95.14044405287522,1.0852516035732038
5.075e-07,3.8124761734874287e-06,-95.36555727956966,3.920966421363426e-06,-95.12183758184479,1.1097805982200122
5.1745e-07,3.9362994777429e-06,-95.08793739155082,3.928997005731535e-06,-95.10406608659349,1.0733548576057876
5.274e-07,3.77598769376661e-06,-95.44908863877369,3.936697294029009e-06,-95.08705960931353,1.0917306461233607
5.3735e-07,3.985868791050359e-06,-94.97924007810141,3.944097887259286e-06,-95.07074634308317,1.0935079962337857
5.473e-07,3.8750168435644394e-06,-95.22422815141068,3.951230266146655e-06,-95.05505324673022,1.08019146144606
5.5725e-07,3.968660229589077e-06,-95.01682166174487,3.958126491914549e-06,-95.03990666200775,1.1264743954586234
5.671999999999999e-07,3.8677491190995715e-06,-95.24053412564922,3.96481890697009e-06,-95.02523292907557,1.1333772310593928
5.7715e-07,3.913531888415155e-06,-95.13832250520028,3.971339837857579e-06,-95.01095899615812,1.128076068101781
5.871e-07,3.943610164293751e-06,-95.07182049740791,3.9777213027811605e-06,-94.99701301914718,1.1057566644669063
5.9705e-07,3.948159865795851e-06,-95.06180545404987,3.983994725918856e-06,-94.98332494685033,1.1308767974334248
6.07e-07,4.103353306658437e-06,-94.7269217999211,3.990190660657472e-06,-94.96982708755422,1.1290084831817668
6.1695e-07,4.029187008185355e-06,-94.8853515447454,3.9963385237714135e-06,-94.9564546525873,1.1345446527293752
6.269e-07,4.052339670515494e-06,-94.83558322051402,4.002466342449318e-06,-94.94314627263273,1.1627808413600533
6.3685e-07,4.044186695129892e-06,-94.85307612182966,4.008600515941707e-06,-94.92984448266378,1.1431951222163643
6.468e-07,4.083376106358265e-06,-94.76931237929469,4.014765593461655e-06,-94.91649617155417,1.1429463596756224
6.5675e-07,4.10135094031787e-06,-94.73116140024572,4.020984069820174e-06,-94.90305299265685,1.138609758384881
6.667e-07,3.8568913325335035e-06,-95.26495198652623,4.027276200119577e-06,-94.88947173194444,1.1197568204632395
6.7665e-07,3.953008108463387e-06,-95.05114593986889,4.0336598346631275e-06,-94.87571463066315,1.1286526429623527
6.866e-07,4.019570582249056e-06,-94.90610686087993,4.0401502750688104e-06,-94.86174965986402,1.1190143756357045
6.9655e-07,4.084934379491216e-06,-94.76599835526329,4.046760152400587e-06,-94.84755074463548,1.1447735286657565
7.065e-07,4.095056238040223e-06,-94.74450263594753,4.053499327953201e-06,-94.83309793636454,1.1476541113548338
7.1645e-07,4.167717345142771e-06,-94.59173489514754,4.060374817147946e-06,-94.81837753188721,1.142852245620752
7.264e-07,4.076142845643387e-06,-94.78471214026587,4.067390736817836e-06,-94.80338213894842,1.1570013596101825
7.363499999999999e-07,4.151601652639278e-06,-94.62538652015562,4.074548275982965e-06,-94.78811068796219,1.1469592748474027
7.463e-07,4.2856698118590195e-06,-94.34932588521944,4.081845690041273e-06,-94.77256839063566,1.1717279366206204
7.5625e-07,4.178201139464882e-06,-94.56991317989016,4.089278318128176e-06,-94.75676664658559,1.1607252049557046
7.662e-07,4.121021992693883e-06,-94.68960139868202,4.09683862323121e-06,-94.7407228996184,1.138488162812459
7.7615e-07,4.088486526574214e-06,-94.7584486255141,4.1045162544844445e-06,-94.72446044585988,1.1359816343654865
7.861e-07,4.243992092777285e-06,-94.43420872193337,4.112298130912809e-06,-94.70800819639379,1.171183536485614
7.9605e-07,4.161998045606279e-06,-94.60366260457272,4.1201685457496145e-06,-94.69140039749456,1.1581933740959038
8.06e-07,4.2327864711578845e-06,-94.45717283469678,4.128109290312372e-06,-94.67467631191079,1.1565083388061022
8.1595e-07,4.104717905881238e-06,-94.72403372596274,4.136099796293363e-06,-94.65787986496622,1.1684767396159186
8.259e-07,4.306493543844911e-06,-94.30722403391,4.144117295202885e-06,-94.64105925949286,1.1663117004509072
8.3585e-07,4.2193503196445485e-06,-94.48478834315364,4.152136993595611e-06,-94.62426656379138,1.1532983932240477
8.458e-07,4.289412411031842e-06,-94.34174396248241,4.160132262614242e-06,-94.60755727692913,1.1508386109201731
8.5575e-07,4.272353930297321e-06,-94.37635557676991,4.168074840300525e-06,-94.59098987573746,1.1445883225314735
8.657e-07,4.192650632357918e-06,-94.53992654802241,4.1759350450517004e-06,-94.57462534785832,1.1502292236422988
8.7565e-07,4.260426608845909e-06,-94.40063827449174,4.183681998541172e-06,-94.55852671512133,1.151452599097856
8.855999999999999e-07,4.286135904510539e-06,-94.34838129326992,4.191283856375655e-06,-94.54275855141246,1.1777514076788387
8.955499999999999e-07,4.269903993448773e-06,-94.38133783833591,4.198708044727458e-06,-94.52738649902734,1.1486290447594576
9.055e-07,4.277569168541609e-06,-94.36575922662252,4.205921501159865e-06,-94.51247678729683,1.1757287914140024
9.1545e-07,4.2551076864206495e-06,-94.41148893343703,4.212890917855772e-06,-94.49809575703314,1.1560977478138046
9.254e-07,4.365648938617992e-06,-94.18872385909984,4.219582985464634e-06,-94.48430939408192,1.1731808280562357
9.3535e-07,4.3803939512815065e-06,-94.15943663157077,4.225964635800122e-06,-94.47118287498378,1.1790916908001006
9.453e-07,4.4007724340997585e-06,-94.11912181170587,4.232003281650381e-06,-94.45878012745796,1.1885501527600892
9.552499999999999e-07,4.186067723399492e-06,-94.5535750393662,4.237667052004073e-06,-94.44716340812357,1.1649680819864774
9.651999999999999e-07,4.428177710352728e-06,-94.06519921261,4.242925021047849e-06,-94.43639289958051,1.167798123032955
9.751499999999999e-07,4.282643123796466e-06,-94.35546232766058,4.2477474293542216e-06,-94.42652632868462,1.164449284996653
9.850999999999999e-07,4.363258859918419e-06,-94.19348045885062,4.25210589575212e-06,-94.4176186075762,1.1696496125296545
9.9505e-07,4.313591381526928e-06,-94.29291998720007,4.255973618455377e-06,-94.40972149876116,1.1456964726483214
1.005e-06,4.269831715723923e-06,-94.38148486779039,4.259325564115886e-06,-94.40288330530265,1.1714609531356281
1.01495e-06,4.336297745801294e-06,-94.24731814785049,4.2621386435678466e-06,-94.39714858695967,1.1839387983144802
1.0249e-06,4.318300754557277e-06,-94.28344232046842,4.264391873136282e-06,-94.39255790291114,1.175346459529498
1.03485e-06,4.304378955168082e-06,-94.31149005555837,4.266066520496136e-06,-94.3891475815272,1.1877547172044005
1.0448e-06,4.301348406792322e-06,-94.3176076116267,4.267146234186832e-06,-94.38694951749723,1.166981430156985
1.05475e-06,4.342093030025435e-06,-94.23571756244826,4.267617156010423e-06,-94.38599099649201,1.1455872972116854
1.0647e-06,4.200323749345895e-06,-94.5240447252323,4.267468015668283e-06,-94.38629454742946,1.1845089616303288
