PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm_display,Phase_rad
1e-08,3.328885371961073e-06,-96.5437232281324,3.379486042690941e-06,-96.41268690050155,1.0070692830482844
3.4950000000000005e-08,3.3334497004798823e-06,-96.53182191738841,3.3821178902022127e-06,-96.40592520951569,0.9942078504313304
5.99e-08,3.3077447592353824e-06,-96.5990602429952,3.3874106640358724e-06,-96.39234303510052,1.0083634008513238
8.485000000000001e-08,3.3821842679364307e-06,-96.40575474117752,3.395333121062545e-06,-96.37205224397815,1.012934182778806
1.098e-07,3.2516601464613655e-06,-96.74759708000803,3.4058378697090425e-06,-96.34522064097902,0.9698210271423885
1.3475e-07,3.3296114444944905e-06,-96.5418289309379,3.418861687164032e-06,-96.31206941506491,0.9703885824863467
1.5970000000000003e-07,3.4367761875452626e-06,-96.26667503156703,3.434325933182615e-06,-96.27286985723177,0.9666255748926559
1.8465000000000003e-07,3.250432727581647e-06,-96.75087640107037,3.452137057701882e-06,-96.22793944605407,0.984886910903125
2.0960000000000002e-07,3.4845716417114967e-06,-96.14671208521082,3.472187198911715e-06,-96.1776374110663,1.0021237089494448
2.3455000000000002e-07,3.4499030240122813e-06,-96.23356229684123,3.4943548678799726e-06,-96.12235989340903,1.0135429720845364
2.595e-07,3.370260939243241e-06,-96.43642950316595,3.51850571531185e-06,-96.06253482708873,1.0029292918044193
2.8445000000000004e-07,3.4568144031259647e-06,-96.21617878668633,3.5444933755328637e-06,-95.99861666304375,1.003617511225652
3.0940000000000006e-07,3.474276450142941e-06,-96.17241259248675,3.5721603823263033e-06,-95.93108105249223,1.0452751224611054
3.3435e-07,3.6799033899270446e-06,-95.67297170126123,3.6013391508319995e-06,-95.86041959649998,1.0565510766704513
3.5930000000000005e-07,3.6597214858564483e-06,-95.72073932868582,3.6318530193261956e-06,-95.78713475622074,1.0630846023549259
3.8425e-07,3.7041275478170026e-06,-95.61598138834916,3.663517344354398e-06,-95.71173500376565,1.0353989411646902
4.0920000000000004e-07,3.5743768012411842e-06,-95.92569338845044,3.696140642382469e-06,-95.63473027806694,1.083349231094501
4.3415000000000006e-07,3.8003887267117063e-06,-95.39313962033184,3.7295257708673936e-06,-95.55662779425903,1.0470886048836283
4.5910000000000003e-07,3.787681690718787e-06,-95.4222305510592,3.7634711414296734e-06,-95.47792823973222,1.0624677372521163
4.8405e-07,3.8079131316326894e-06,-95.37595939450478,3.7977719576353964e-06,-95.39912237569803,1.0889181704660342
5.09e-07,3.755066686480376e-06,-95.49734696189185,3.832221469768404e-06,-95.32068805026663,1.1195557358450543
5.339500000000001e-07,3.860049359839103e-06,-95.257842879621,3.866612238892388e-06,-95.24308761794815,1.1015005421560582
5.589000000000001e-07,3.951284753762875e-06,-95.05493346880638,3.900737402469452e-06,-95.16676575128551,1.1019061278866522
5.8385e-07,3.841162990995422e-06,-95.3004453263099,3.934391933815612e-06,-95.09214762302612,1.102072554533792
6.088000000000001e-07,3.970093667353794e-06,-95.01368497744295,3.9673738877347555e-06,-95.01963743176705,1.1240247999899955
6.337500000000001e-07,4.112886078942933e-06,-94.7067664365545,3.999485624780012e-06,-94.94961724022197,1.1188885436654372
6.587e-07,4.014849391029117e-06,-94.91631487857205,4.030535006744584e-06,-94.882446092968,1.1288942517779044
6.8365e-07,4.1175223168024596e-06,-94.69698080923038,4.060336556181719e-06,-94.81845937952711,1.132622063473042
7.086000000000001e-07,4.194321064157573e-06,-94.53646661350095,4.08871257299419e-06,-94.75796840869816,1.1502715983494884
7.335500000000001e-07,4.189528948692097e-06,-94.54639613049737,4.1154942014159206e-06,-94.70126016096934,1.142818995061638
7.585e-07,4.171907822744552e-06,-94.58300595870007,4.140522441030181e-06,-94.64859718740837,1.1744677236677643
7.834500000000001e-07,4.306394985829215e-06,-94.30742282065717,4.16364909582816e-06,-94.60021762547174,1.1503466961951092
8.084000000000001e-07,4.14780829167102e-06,-94.63332653450438,4.184737655706184e-06,-94.55633530454242,1.153325982413832
8.3335e-07,4.219546487906976e-06,-94.48438452357458,4.203664105226955e-06,-94.51713991657128,1.123355946387435
8.583000000000001e-07,4.288765733900743e-06,-94.34305355668947,4.220317654927251e-06,-94.48279722986086,1.1788521843613484
8.832500000000001e-07,4.258604521555824e-06,-94.40435382596976,4.234601390938532e-06,-94.45344932671185,1.2304531864715125
9.082e-07,4.357464656947155e-06,-94.20502257800104,4.246432839194873e-06,-94.42921484830008,1.1692992000273272
9.331500000000001e-07,4.202626707970185e-06,-94.51928372014152,4.255744441031469e-06,-94.41018923272466,1.1684883395706689
9.581e-07,4.335637403246626e-06,-94.24864095814962,4.262483937523237e-06,-94.39644493464841,1.1754447179656458
9.8305e-07,4.3508724107237395e-06,-94.21817308737067,4.2666146604734094e-06,-94.38803161732922,1.1809281144076729
1.008e-06,4.3819746101298744e-06,-94.15630290617105,4.268115728533177e-06,-94.38497631012055,1.1614128237651622
1.03295e-06,4.313129260064542e-06,-94.2938505693279,4.266982147511603e-06,-94.38728352671023,1.1812256427607228
