PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,C_fit,t_pi_s
1e-08,3.013224712298376e-06,3.0023903006877922e-06,2.1449512490449236,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.4950000000000005e-08,2.9739676106915934e-06,3.005526055207867e-06,2.173059398536856,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
5.99e-08,2.9580709114424584e-06,3.012123154148707e-06,2.1569792024574275,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
8.485000000000001e-08,2.8881078587917355e-06,3.0221394752639075e-06,2.1827823774771296,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.098e-07,2.9833538927081442e-06,3.035511064692858e-06,2.1674478449049075,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.3475e-07,3.079023468035348e-06,3.052152545303911e-06,2.1692846712874947,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.5970000000000003e-07,3.007738386317988e-06,3.0719576618243875e-06,2.1704430168762987,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
1.8465000000000003e-07,3.1349875742955405e-06,3.0947999592767815e-06,2.1930589968471197,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.0960000000000002e-07,3.048907585149353e-06,3.1205335903893773e-06,2.203855168890813,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.3455000000000002e-07,3.158441470261057e-06,3.148994246825987e-06,2.1639566445917167,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.595e-07,3.1435633927237905e-06,3.1800002082889407e-06,2.1726957670028897,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.8445000000000004e-07,3.280952482550798e-06,3.2133535027968417e-06,2.201788401372603,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.0940000000000006e-07,3.162200183934574e-06,3.2488411707287564e-06,2.1787764277310226,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.3435e-07,3.2272430661977834e-06,3.2862366245639595e-06,2.2153038370736957,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.5930000000000005e-07,3.3161265382444052e-06,3.3253010956353408e-06,2.2136983824238636,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
