PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm,Phase_rad
1e-08,7.500026076683712e-07,-109.48844457568578,9.161903607845563e-07,-107.74998567810175,-2.20799880653273
1.745e-08,8.49177673052959e-07,-108.40972870364979,8.375452018250008e-07,-108.5295349441455,-2.253860653077182
2.49e-08,8.58836409118466e-07,-108.3114910946324,7.013396324401771e-07,-110.07113241514247,-2.2630573439199524
3.235e-08,8.045770485681856e-07,-108.87834724953171,7.268618696587444e-07,-109.76066230608879,-2.262177435616758
3.98e-08,8.431356579104346e-07,-108.47175090574042,8.726519558577991e-07,-108.17287871539067,-2.2590776191222264
4.725e-08,8.296690807820382e-07,-108.61160193192647,9.040328656954412e-07,-107.86601565662463,-2.347598728377365
5.470000000000001e-08,8.579424198784296e-07,-108.32053721338374,7.712051381483682e-07,-109.24630175559827,-2.233264741503626
6.215e-08,8.64511159365165e-07,-108.25428797041104,6.884485631618374e-07,-110.2322700859812,-2.1115968026437035
6.96e-08,8.145061432695149e-07,-108.77181275842568,7.884796494760481e-07,-109.05389026848434,-2.240353628350929
7.705e-08,7.776198699809637e-07,-109.17435305764923,9.097462244114957e-07,-107.81129480591457,-2.243566208927045
8.450000000000001e-08,7.716235506862267e-07,-109.24159055824703,8.576616692267435e-07,-108.32338002451203,-2.312841294280453
9.195e-08,8.256560294977986e-07,-108.65371690818044,7.171915078477012e-07,-109.87699727320697,-2.2544323272191487
9.94e-08,7.752106035074693e-07,-109.20130595411365,7.144920777585057e-07,-109.90975168886351,-2.2429185046682547
1.0685000000000001e-07,8.432902168071644e-07,-108.47015880312453,8.529766874037595e-07,-108.37095680969931,-2.1855440430333952
1.143e-07,8.224281074008402e-07,-108.68774115526588,9.096330376598485e-07,-107.81237553455102,-2.2040787179423433
1.2175000000000001e-07,8.959249283137769e-07,-107.94426763103257,7.945878957191317e-07,-108.98686114365813,-2.3267782350917545
1.2920000000000002e-07,7.459691758090407e-07,-109.53528239612172,6.940268408230681e-07,-110.16217470930813,-2.3321002403935682
1.3665000000000002e-07,7.222582952358155e-07,-109.815849273826,7.691787587826582e-07,-109.26915439346801,-2.252031842449079
1.4410000000000003e-07,8.04281276481955e-07,-108.88154087284579,8.981531760050814e-07,-107.92269184407196,-2.2156720134975667
1.5155000000000003e-07,7.479447626701418e-07,-109.51230953402177,8.740861878438626e-07,-108.15861489045406,-2.2734598675757405
1.5900000000000003e-07,7.228461415083344e-07,-109.80878270064409,7.374347135825479e-07,-109.63522849370263,-2.254120106084213
1.6645e-07,7.705213657014713e-07,-109.25400632886192,7.085276949733297e-07,-109.98256343047622,-2.1057567349733475
1.7390000000000002e-07,8.432703381804797e-07,-108.47036355540223,8.327227582349137e-07,-108.57969136240084,-2.3319287511444617
1.8135000000000002e-07,8.146711279030304e-07,-108.77005354124415,9.09766424781374e-07,-107.81110194308012,-2.304181242990825
1.8880000000000002e-07,8.566200008216933e-07,-108.33393583698717,8.172613894083469e-07,-108.74248041034066,-2.215622680298646
1.9625000000000003e-07,7.242221995615729e-07,-109.79226338134251,7.056522730338373e-07,-110.01788514710725,-2.1326349046791
2.0370000000000003e-07,7.54402452858068e-07,-109.43763820749712,7.540906017435249e-07,-109.44122947945527,-2.1644538722389015
2.1115000000000003e-07,8.491985992130809e-07,-108.40951466119012,8.833989788681852e-07,-108.06656218503429,-2.2325061517500213
2.186e-07,8.135933775509664e-07,-108.78155194577383,8.860846113169493e-07,-108.04019615926315,-2.1965315262298324
2.2605000000000002e-07,8.23187985039723e-07,-108.67971958351632,7.599557113772508e-07,-109.37393437840035,-2.2961539438118503
2.3350000000000002e-07,7.584805111270429e-07,-109.39081151872251,7.088571906315082e-07,-109.97852505952451,-2.1727615280016974
2.4095e-07,7.21744819085834e-07,-109.82202654216326,8.138430931343912e-07,-108.77888640145966,-2.1479907320987937
2.4840000000000003e-07,7.035766519137541e-07,-110.04347166282125,9.052989541032022e-07,-107.85385967079996,-2.2693608903589855
2.5585e-07,7.891017235883263e-07,-109.04704020362145,8.377029200679704e-07,-108.52789945715287,-2.304709737448827
