DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
0.0,-105.78482827196825,-106.05938096959284,-117.91296740972037,0.250109616909795
0.005,-105.57891235110986,-105.71713973700676,-120.61974489699665,0.17793131598419493
0.01,-104.84215663780931,-105.10377760470946,-117.17342811658845,0.24420906874963344
0.015,-104.9255397352833,-105.52193641509379,-113.84281703652147,0.36634857388629455
0.02,-105.11170482073445,-105.56879182290216,-115.1160984200264,0.3215819911646474
0.025,-105.66440577461485,-106.13176237668925,-115.57734800454831,0.3251102064716166
0.03,-105.02067735083422,-105.47828381382557,-115.02039334469109,0.32176145373315534
0.035,-105.02640288848184,-105.20393344238988,-118.99997782327125,0.20149486353803409
0.04,-104.77745222798686,-105.11097754804209,-116.08970271758187,0.27535272811501593
0.045,-105.49559864267195,-106.33931319785819,-113.02651616265793,0.433663659604797
0.05,-104.30679382296931,-104.59917546202274,-116.17050665134073,0.25801424964304137
0.055,-105.05565976971238,-105.89856069721091,-112.59037372939486,0.4334613172497319
0.06,-104.74997611484352,-105.41830621417995,-113.20778956377858,0.38727567165587795
0.065,-104.65372194346796,-105.49103999168322,-112.2145951973767,0.4320699954772878
0.07,-104.99615286772013,-105.5333633438593,-114.33838802769398,0.3480922784043282
0.075,-103.9309682215519,-104.61878202634239,-112.27347145023305,0.39273263471314207
0.08,-104.37168873080084,-105.03504168943158,-112.85954067638274,0.38586795757412373
0.085,-104.10284648837923,-104.92145332316719,-111.75281208345868,0.42736938712859596
0.09,-104.76160080991276,-105.20736424795766,-114.86937496887604,0.3176429225243742
0.095,-104.53260423615588,-105.65689079407153,-110.95170006880073,0.49789707000446237
0.1,-103.96295020308591,-105.04679598839466,-110.52177671856231,0.4892427386393077
0.105,-104.1561007014052,-105.49888476592022,-109.90798898763897,0.5418361887548261
0.11,-104.05125021114608,-104.88086639021957,-111.64852802308233,0.43014219902993656
0.115,-104.59330743318137,-105.64163708498003,-111.27979791452975,0.48149051465654524
0.12,-103.26386165530329,-104.52816580976551,-109.24001617133274,0.5265631694798799
0.125,-103.28609429746543,-104.54311409308349,-109.2838770744673,0.5251180892511546
0.13,-103.54616783894616,-104.81313086557128,-109.5144635491759,0.5270894443995021
0.135,-103.84461883042928,-105.28104633294922,-109.34806084646655,0.5593957047811153
0.14,-104.19676862639555,-105.40874884548435,-110.33156292444826,0.5160742374518411
0.145,-102.68018336654717,-104.2045302633275,-107.96709147820407,0.5752800295837008
0.15,-103.07658873599507,-104.80591186986075,-107.91167798782631,0.6103080978332589
0.155,-102.59614520347499,-104.64711705138646,-106.83959452778849,0.6605082895247781
0.16,-102.32723044657962,-103.97983917726657,-107.32350643377865,0.5975061744550139
0.165,-102.60714382272991,-104.73303817941483,-106.7292437228611,0.6714857395598787
0.17,-102.75464614897271,-104.32446480304891,-107.93528637809432,0.5832830155097438
0.17500000000000002,-102.01238680057237,-104.59927900533883,-105.49187760800484,0.7341062560952782
0.18,-102.36046416986105,-104.43133068031568,-106.57115296448589,0.6634474870549996
0.185,-102.12114453480795,-104.09176903731775,-106.50106746054894,0.648452809436504
0.19,-102.13332514746219,-104.49283056278958,-105.90942902419414,0.704211321907706
0.195,-102.23974091869283,-103.86657212890306,-107.29221274258376,0.5931243323673228
0.2,-101.72893459095107,-103.76434772235709,-105.99828357286499,0.6581971871921303
