DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
0.0,-106.39665203278982,-108.64900637307483,-110.32574194670006,-2.45212120077235
0.005,-105.5357853876326,-109.20824688693783,-107.97165371757507,-2.2852497213712346
0.01,-105.79016104804057,-109.31119129382256,-108.3435221521195,-2.30060584802087
0.015,-105.33646591169087,-108.66565818384049,-108.04969584384864,-2.3207665296167064
0.02,-104.82418933936304,-108.45891407713154,-107.2886614155934,-2.289032216782208
0.025,-104.62989028165063,-108.69801523501084,-106.79021913967865,-2.2472454383820706
0.03,-104.24519168675963,-107.60928568311164,-106.9283606609778,-2.3170373823871806
0.035,-103.50020851926784,-108.07596993774581,-105.36224735788606,-2.2024611447352873
0.04,-102.20895584617776,-107.83499302745096,-103.59825329663985,-2.1214408959386555
0.045,-102.94009190046077,-108.76697772642906,-104.25601951533365,-2.107465604169301
0.05,-102.82130218403273,-109.9015938990882,-103.7680466123114,-2.0292628483281563
0.055,-102.22331914437176,-108.2657273940505,-103.46546133323103,-2.0929479266783506
0.06,-101.64973041507736,-108.73801538275205,-102.5945300567013,-2.028808924039656
0.065,-101.54147121647411,-107.79575216145643,-102.71567793037123,-2.079136049142324
0.07,-101.10361031006556,-108.34371978869916,-102.01230077902174,-2.020284659160924
0.075,-101.02785304699951,-107.89965077905995,-102.02693576020732,-2.0412889780001398
0.08,-101.09055793854455,-107.04088280868682,-102.36362531120957,-2.09909161016722
0.085,-101.3587678007353,-108.08891451667904,-102.39525458339767,-2.0496690408888467
0.09,-102.26944451213369,-109.5218078853275,-103.17528804752311,-2.0196046553065248
0.095,-101.9645244457385,-108.05867666978466,-103.1896686133109,-2.0895335326706155
0.1,-102.95818043188015,-108.81550310518789,-104.26338676481112,-2.1053858668822545
0.105,-103.22634962172825,-109.25997152801818,-104.47140498581467,-2.0935303959922944
0.11,-103.40706745997494,-108.87086247563911,-104.85913632477144,-2.1330590297399223
0.115,-103.9855527658232,-109.03566460461093,-105.61345677128726,-2.1641038478883985
0.12,-103.970858714447,-109.96180994856576,-105.23017412424272,-2.0963703422164155
0.125,-103.86507794922665,-107.988403872698,-105.99019823957626,-2.2421699099314543
0.13,-105.2290307328229,-109.97451622995908,-107.00286422644693,-2.1883751047067013
0.135,-104.17803253275369,-108.77123515761596,-106.03076314363626,-2.2009942218563734
0.14,-105.12216874962071,-108.7517664825175,-107.59056086881394,-2.289548351356209
0.145,-105.68946255843947,-109.14410916330232,-108.29668883302853,-2.307490258840558
0.15,-105.16417160755418,-109.52604544690865,-107.14519406526902,-2.220826337369512
0.155,-104.04365545748453,-106.94832939775638,-107.16221456563979,-2.368505466081258
0.16,-105.77497160036313,-109.5801817185905,-108.11359236902256,-2.2721691302365143
0.165,-104.1285909740082,-108.93647003781184,-105.87128574434408,-2.1833004803219587
0.17,-104.76820967727092,-108.95717787852666,-106.85240041340926,-2.2362023979796777
0.17500000000000002,-103.44831900767132,-107.97118253496615,-105.3389431071068,-2.20693801345804
0.18,-102.81294494640164,-108.31280221912743,-104.25077851639793,-2.1304505061331973
0.185,-103.01214092940845,-109.12741746117925,-104.23042259122064,-2.088147357521006
0.19,-102.34510104347699,-107.99753162188594,-103.7244900193482,-2.1195790813746753
0.195,-102.12746249732439,-108.74259911154537,-103.19547816992366,-2.056601748380372
0.2,-102.3804977860457,-108.57392088231902,-103.57377265513085,-2.0830579516884344
0.20500000000000002,-102.21494452345567,-108.46082387219077,-103.39176282799853,-2.0796753351094974
0.21,-101.91765105335692,-108.10805094299111,-103.11188234982028,-2.0832537214470404
0.215,-101.18675036382355,-108.2544675242234,-102.13656325006211,-2.0299779899079486
0.22,-101.77317443662403,-109.82021809821255,-102.51377469586139,-1.9779059154661711
0.225,-101.12476497553202,-107.28413921570885,-102.32886246129914,-2.0852680042950897
0.23,-102.06314211469895,-108.60151486026373,-103.15280342768503,-2.06129471015223
0.23500000000000001,-101.85483763311963,-109.27304982881262,-102.7231048536531,-2.010516221319953
0.24,-101.9704934068259,-108.53617640087722,-103.05239757682816,-2.059618999145665
0.245,-103.34011251042112,-108.93942753594325,-104.7395266883079,-2.1233338546330924
0.25,-102.14183368201199,-108.36312667317543,-103.32633270714032,-2.0812574336256895
0.255,-102.91316408787813,-108.01451387134361,-104.51796575660738,-2.160142817515132
0.26,-102.38496218816715,-107.41018693966653,-104.02423111298633,-2.166040071859381
0.265,-103.83215577874516,-109.2467287530784,-105.30392322664916,-2.1366439694693398
0.27,-104.35577361093935,-109.12513926325491,-106.11760994355144,-2.186426412715156
0.275,-104.63779868395338,-108.37353146305908,-107.02667372985104,-2.2789719718381454
0.28,-104.9130329971314,-108.65879249414803,-107.29456958508865,-2.2779844028951004
0.28500000000000003,-104.58826384216215,-108.38600542333423,-106.93222062357408,-2.27289592510642
0.29,-104.67577309725786,-109.14030415161844,-106.59854956441707,-2.2119239345781208
0.295,-105.30801555110544,-109.03531831126492,-107.7030832100062,-2.2798038062590082
0.3,-105.68114917642225,-109.61835615362709,-107.9279948800953,-2.259497927728455
0.305,-105.07730197826777,-108.57337502710438,-107.65073924802516,-2.3031829018802736
0.31,-104.65351003721017,-108.72068877320609,-106.81444883804312,-2.2473329016511134
0.315,-104.3459330263396,-108.80560220777035,-106.27141972735492,-2.2123418523735645
0.32,-103.74124488452566,-109.11786910713303,-105.22841463494368,-2.1394273756182596
0.325,-103.50396474747339,-107.80190766667107,-105.52237192927095,-2.2264547483091057
0.33,-102.74499887148322,-108.01472416744303,-104.27659112630923,-2.147360940773268
0.335,-102.8797375661329,-108.90118492777093,-104.12884248617344,-2.0943387762440153
0.34,-102.58901907342337,-107.91042735875774,-104.09894083684551,-2.143507997676877
0.34500000000000003,-102.24585444882949,-108.4984491198297,-103.42058480079749,-2.079244233723622
0.35000000000000003,-101.62942823849777,-107.23080634931497,-103.02805829239331,-2.1231874224106613
0.355,-101.93084983770882,-108.32594348433089,-103.0622538772942,-2.070198180360223
0.36,-101.91551812300078,-107.91527562274902,-103.17187524762046,-2.095782715450803
0.365,-101.81650724574864,-108.45691795412803,-102.87750272043469,-2.0550681984507038
0.37,-101.4123496528321,-108.28327688101666,-102.41165755857642,-2.0413399519213913
0.375,-101.13344363442737,-108.1225770055621,-102.10268544411818,-2.0344765574013297
0.38,-102.08802481303798,-109.20245834428796,-103.02649340178476,-2.0273276093529566
0.385,-102.45360515743025,-107.67817108207839,-104.00443524057158,-2.150754353343804
0.39,-101.87969864712224,-107.89943876700137,-103.12937264883564,-2.094452256551539
0.395,-102.12650279734056,-108.0336454528311,-103.41437761826987,-2.102002846444231
0.4,-102.64951841066767,-108.50557946328524,-103.95516713061295,-2.1054718773439336
0.405,-102.69357386415776,-107.41826202277635,-104.47793689327415,-2.1900788079277915
0.41000000000000003,-103.75231587112472,-108.64726904445364,-105.4526556391425,-2.17630884849127
0.41500000000000004,-103.86238819505658,-109.05678479800635,-105.42623050877039,-2.153035451082044
0.42,-103.66329910798154,-108.76348192387239,-105.26862255789722,-2.1602326553537385
0.425,-104.41715494170347,-108.78053721193749,-106.39730579128187,-2.220694326699063
0.43,-105.17487256795108,-109.70609802068878,-107.0609422107,-2.2062275249027388
0.435,-103.7961838290822,-107.92158815286851,-105.91999270744759,-2.2419798371788704
0.44,-104.70889772913736,-109.22834811270603,-106.60138474960101,-2.207228322255727
0.445,-105.43877640065587,-109.41368707220114,-107.6602594205805,-2.2559377285529894
0.45,-105.30572484629074,-110.68049817757455,-106.79365067335456,-2.1395635699593636
0.455,-104.27977728722355,-108.41441327623701,-106.39777359366283,-2.2411364833281007
0.46,-104.5334089319397,-108.97642474450319,-106.46821491957988,-2.213776112472854
0.465,-104.24912877510098,-108.42909795026094,-106.33887145887724,-2.2370161762304286
0.47000000000000003,-104.55641370947285,-109.50650174050907,-106.23057757653501,-2.171935157907603
0.47500000000000003,-104.32395806440135,-108.32278189311396,-106.52954449437348,-2.25369304172564
0.48,-102.74263057893405,-108.07658444167885,-104.2473469367175,-2.1425776222445405
0.485,-103.79150947589667,-109.62380474612458,-105.10552419751087,-2.107095258412161
0.49,-102.7865304167819,-108.91408015590075,-104.00084522008213,-2.0873440385546913
0.495,-102.06220699306874,-109.20702057446398,-102.99337917561542,-2.0256135174728582
0.5,-101.51159294512962,-108.78185858524922,-102.41329501405636,-2.0186133289225157
0.505,-101.90763621495807,-110.02187558703503,-102.63585641826728,-1.9745853178431318
0.51,-101.64975220540427,-108.64585831206767,-102.61725229501891,-2.0340753430583027
0.515,-101.22453133211336,-108.3223036863324,-102.16702842597655,-2.0282708236815616
0.52,-102.32626125991152,-109.07886193474349,-103.35671546310505,-2.048329106646318
0.525,-101.3644670864319,-107.22887019375663,-102.66719388409653,-2.1049034741502193
0.53,-101.90683409835955,-107.74378381047428,-103.21920549033928,-2.106776851979415
0.535,-101.88187487014814,-109.04671335385675,-102.80827212677978,-2.0244877360769475
0.54,-102.22028193502513,-108.44739629130814,-103.4029572189223,-2.080882305430951
