DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)
0.0,-105.9701266048788,-114.04423974233411,-106.70571231390655,1.9765645677886845,-104.62480825069099
0.0005,-105.82684196433972,-111.1552274289209,-107.33386613379886,2.1429903379559283,-104.62848873531848
0.001,-106.79053995735057,-114.03837925902208,-107.69743341271064,2.019855571398611,-104.63034344217134
0.0015,-105.65332573914608,-112.24735458056598,-106.72724452689828,2.057886879236178,-104.62779362634845
0.002,-106.23062274191113,-113.11172381539902,-107.22730229775492,2.040744605415864,-104.62882872808859
0.0025,-105.36636214702334,-111.34420227196392,-106.6300968469824,2.0972467002960626,-104.63216541755041
0.003,-105.55030769380052,-112.57035323027395,-106.51185446544771,2.032700915295149,-104.63049413177303
0.0035,-106.59500401608213,-113.18655454848195,-107.6696183134658,2.058038031617509,-104.628616959159
0.004,-105.77377727507073,-111.61708387906906,-107.08390810407917,2.1063423550966363,-104.6314772960342
0.0045000000000000005,-106.52355542039382,-113.69488853944745,-107.44840987991938,2.024123303265729,-104.63191416061873
0.005,-106.30645550119205,-112.68646756083528,-107.44235793259111,2.0711464629186085,-104.62847307081839
0.0055,-105.84296960059561,-111.30152055898834,-107.29712229031186,2.1334396132846964,-104.6289785394568
0.006,-106.05933026192353,-112.41646201778434,-107.20209607996361,2.072589194725625,-104.63109477362696
0.006500000000000001,-106.27925951367884,-113.04491725256553,-107.30622389150726,2.0475519469996635,-104.62816655615508
0.007,-106.40867820162656,-115.13242392217144,-107.0343054324473,1.9458039101424456,-104.62573634836953
0.0075,-105.31067153353015,-110.61547107458921,-106.82751742368725,2.1447426266476257,-104.62774706531391
0.008,-105.76520651606494,-111.17996294725215,-107.2368999624701,2.136630555017769,-104.62677503873857
0.0085,-105.0779532822227,-110.31007089215352,-106.62554645321211,2.1501851426339798,-104.6224860964581
0.009000000000000001,-105.01034726641477,-110.47325277918561,-106.46276934437964,2.133123562140119,-104.62243265622132
0.0095,-105.15055847171527,-110.75262019914874,-106.54892881443493,2.123138911735702,-104.62329380243457
0.01,-105.21980772537638,-110.24202601603592,-106.86045601540157,2.1662745234035863,-104.61915581176821
0.0105,-105.38590190889018,-113.08813962418989,-106.19374446506112,1.995434773266414,-104.61618701798477
0.011,-104.97082092493864,-109.65924974456368,-106.77372474716854,2.193063909189518,-104.61729246124897
0.0115,-104.45109356376042,-110.59370403156026,-105.66056076156046,2.0863603169146985,-104.61492283659668
0.012,-104.43297578066391,-110.4103155950155,-105.69687947125004,2.097280176549651,-104.60983762368458
0.0125,-104.48168258245254,-110.63096439309845,-105.68900956037572,2.085925284617081,-104.6091893670485
0.013000000000000001,-104.02329904138826,-109.65225781165586,-105.41149560158912,2.1212344210388587,-104.608760118388
0.0135,-104.54578027128863,-109.03364399086468,-106.45561550838808,2.209923357303316,-104.60346547563555
0.014,-104.40323606600045,-109.21914184819393,-106.14197334080484,2.182651599574934,-104.5999684630807
0.0145,-104.04398133049045,-108.9603821553115,-105.73408028821305,2.1746025991967723,-104.60011013366011
0.015,-103.8378425885119,-110.11545445301037,-105.00483162487947,2.0776420507354945,-104.59636039484818
0.0155,-103.4290577238298,-108.33641189074424,-105.12346716417969,2.1753215392571756,-104.59052938583176
