DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)_dBm,C_fit,A_contrast_fit,A_pi_fit,Adec_fit
0.0,-97.08401163144362,-100.20297192469042,-99.98830370033059,0.7977542019276657,-94.58155172976369,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.005,-96.68881234016416,-99.33524022077754,-100.09628237924429,0.741645001228768,-94.53991056502,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.01,-96.99081469735665,-99.67779672216493,-100.3504526277704,0.7467156228428231,-94.42108784501482,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.015,-97.01158429135334,-99.6441872225388,-100.43558481025659,0.7399045575354193,-94.23975377251068,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.02,-96.91192996568348,-99.83951254916201,-100.00655340193404,0.775783111617089,-94.01579202635651,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.025,-96.70949434965856,-99.65794985989967,-99.78253216834526,0.7782268751201773,-93.77137774230465,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.03,-96.79851033178487,-99.53808688722506,-100.09753815227359,0.7532158037987213,-93.52835589715099,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.035,-96.82940898380411,-99.59233428526998,-100.1020297019084,0.7560745608871966,-93.30631946970128,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.04,-96.90737298139618,-99.8217417570763,-100.01577109644253,0.774229865590308,-93.12145647114305,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.045,-96.89071690870826,-99.57811135292863,-100.24987337936162,0.7467669249542871,-92.98602060237988,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.05,-96.83821805410217,-99.63606796194804,-100.07189773678382,0.7603203057413584,-92.90820447688051,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.055,-97.01438258680538,-99.97431617591936,-100.07563988446401,0.7795656341559347,-92.89221300067625,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.06,-96.8641882022922,-99.69792808003497,-100.05853149463968,0.7646461226627687,-92.93839513861988,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.065,-96.83919170236321,-99.50977534822714,-100.21805380017227,0.7446714876398534,-93.0433613317571,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.07,-96.5057561232507,-99.23195859440733,-99.82004698177622,0.7515709094160101,-93.20007802807854,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
