DriveAmplitude,Amplitude_AU,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(AU)
0.0,2.0220584578867436e-07,-120.87382590480209,-131.16396085149933,-121.30032825363286,1.8816161436985364,2.0333372605809317e-07
0.005,2.462261611509198e-07,-119.1630161600095,-128.09254756413802,-119.75761193462475,1.9366040569099925,1.987660116943241e-07
0.01,2.2713786862103053e-07,-119.86390911923692,-129.25919019726956,-120.39418289359094,1.9166801564396372,1.9515767553258697e-07
0.015,2.1510963680339617e-07,-120.33650270341298,-132.054893253642,-120.63918821661213,1.8332655615341984,1.9377634523794604e-07
0.02,1.651428615539606e-07,-122.63250392994777,-132.3885299438154,-123.11805284823487,1.9020576823087725,1.9510728948205282e-07
0.025,1.765646272684371e-07,-122.05162600426473,-129.46834606871928,-122.9202235210524,2.010597045447959,1.9868294048051454e-07
0.03,2.412022049780959e-07,-119.34207457056154,-125.24144233666726,-120.63263653331202,2.1025290794335065,2.0324715303978502e-07
0.035,1.6305345375156958e-07,-122.74309999654488,-128.44922605840617,-124.10258425699622,2.1158152404625374,2.071964950376809e-07
0.04,1.9092763354272037e-07,-121.37232424902281,-129.82261846403915,-122.04190652005794,1.9584252665440498,2.0914354164709766e-07
0.045,2.1402308737497408e-07,-120.38048755032722,-130.8863355527124,-120.785328393756,1.8737465064899486,2.0840428504929644e-07
0.05,1.9826759110232948e-07,-121.0446654421299,-132.09512561886015,-121.39978388874513,1.854804730753408,2.0523843001482805e-07
0.055,2.2050540827550676e-07,-120.12131512824404,-126.21802805384831,-121.34562506079274,2.08936526162919,2.0075815823780142e-07
0.06,2.14783756725189e-07,-120.34967135861606,-128.11215918587567,-121.14529877561637,1.9923114813846838,1.9653741299761197e-07
0.065,1.375241203848049e-07,-124.22212252638633,-131.08902184326075,-125.22247316127829,2.041575897255444,1.9405896452237417e-07
0.07,1.8910212408029798e-07,-121.45577190208374,-128.04782644143904,-122.53024471439159,2.0580072876952054,1.9419350492968036e-07
0.075,2.1355088270874227e-07,-120.39967262506013,-128.13353122650304,-121.20107893599331,1.9937923365100891,1.968937694596174e-07
0.08,1.950252519079732e-07,-121.18788309259493,-126.71660342612041,-122.61444121564531,2.1283735688538936,2.0121114083604653e-07
0.085,1.8015484473065703e-07,-121.87678112978661,-128.90718799999806,-122.83576389201875,2.0321075074385067,2.0562890355580813e-07
0.09,1.5488802596119434e-07,-123.189343148471,-133.16680135497134,-123.64942993543539,1.8934132031796287,2.085950741034407e-07
0.095,2.385547769316037e-07,-119.43793769343324,-128.32984210324256,-120.03808184632032,1.938267538661512,2.0906762100600417e-07
0.1,1.6969875005541923e-07,-122.39612717414673,-128.20470104309075,-123.7185542867023,2.108721613374205,2.0688053602593967e-07
0.105,1.4985529414032434e-07,-123.47625823415467,-129.7697229748456,-124.6383718779656,2.076629901808825,2.0280215373694213e-07
0.11,1.3615992993785638e-07,-124.30871365794039,-135.99182675490954,-124.61395669478692,1.8343591244926671,1.9826523150598392e-07
0.115,1.681649642754683e-07,-122.47498965606837,-129.31300688323245,-123.48285295950662,2.0432717838056798,1.9486361421791605e-07
0.12,1.7648396583111838e-07,-122.05559495566962,-130.34531385098515,-122.75253168441493,1.9660553743586333,1.937923080991651e-07
0.125,1.741547843269963e-07,-122.17099184809256,-132.38011259380553,-122.60594070413332,1.8846277828096654,1.9542766868120333e-07
0.13,2.1336371283335738e-07,-120.40728884152266,-125.62741492687496,-121.96002575044547,2.1510893379240144,1.9919518510272865e-07
0.135,2.391267139975818e-07,-119.41713812425071,-125.22076684851739,-120.74132680590188,2.1090614146652076,2.0377130882767267e-07
0.14,1.9570531117679995e-07,-121.15764780373341,-130.69036864071685,-121.67038758646356,1.9110284899941454,2.0754842327806578e-07
0.145,2.032948723149162e-07,-120.82717155111308,-130.1470943328678,-121.36732852971238,1.9198220999401154,2.0919960807930304e-07
0.15,1.544601337611193e-07,-123.21337191140573,-131.60301863257206,-123.89314683219665,1.9612876938717614,2.0814479323780212e-07
0.155,2.2428516148634033e-07,-119.97368920369115,-131.96972437380128,-120.25700418277378,1.8248228886200155,2.0475454081171758e-07
0.16,2.1358492570822106e-07,-120.39828808304227,-126.86650799122391,-121.50816547256244,2.0656303658955317,2.0021986449107859e-07
0.165,2.0762189174306432e-07,-120.64423716754288,-127.65034015987837,-121.60924622222635,2.033500819386878,1.9613382016050828e-07
0.17,2.205714646185256e-07,-120.11871350415126,-130.83318569470822,-120.50369882432243,1.8663368824849809,1.9393185690289273e-07
0.17500000000000002,2.1372393786609913e-07,-120.39263669404848,-126.26924559618399,-121.69110186713579,2.1040731335863714,1.943875361098803e-07
0.18,1.757324744989764e-07,-122.09265955534394,-129.9939930222333,-122.86089947656983,1.9852120862313158,1.973407752549877e-07
0.185,1.8407746586101313e-07,-121.68968750534987,-130.3538820174311,-122.32461562930612,1.9485134289674886,2.0175408573568773e-07
0.19,1.944521621671027e-07,-121.21344451235649,-127.2140637697652,-122.46951257725797,2.0957252545994187,2.060770481317564e-07
0.195,2.0789807830438523e-07,-120.63269054395144,-130.4498418024456,-121.11106546056602,1.8996468021872666,2.087909827851291e-07
0.2,1.5365254321949855e-07,-123.25890498359117,-126.01009476537682,-126.54476059219104,2.3869529109218517,2.089424700326734e-07
0.20500000000000002,1.9113582445992467e-07,-121.36285815918046,-128.1290504723958,-122.38967994180946,2.047520160537398,2.064782915994603e-07
0.21,1.7271497351745807e-07,-122.24310023652593,-133.32636201238233,-122.59543523831971,1.853704650913533,2.022641264615007e-07
0.215,1.975141122164852e-07,-121.0777374224609,-126.78495196978875,-122.43682166077105,2.115739271005064,1.9778043322203497e-07
0.22,1.9390539623437523e-07,-121.23790213695862,-129.9185123778013,-121.8702516604033,1.9477643842897174,1.94602357138392e-07
0.225,1.9877102677316047e-07,-121.02263842096215,-136.82279799648674,-121.13839436345827,1.7336938321833508,1.9384637322418736e-07
0.23,1.8961355756066874e-07,-121.43231231124292,-125.87893947353717,-123.36509263808225,2.2134647230750186,1.9577806264509826e-07
0.23500000000000001,1.9262576211987618e-07,-121.29541264321853,-131.01305921107414,-121.78552402582199,1.9035811538361,1.9971881264430225e-07
0.24,2.1018412379292408e-07,-120.53770187131632,-137.10726457757247,-120.63445312980119,1.7197768851431667,2.0428421680948535e-07
0.245,1.8930781740629332e-07,-121.44632907561979,-132.27450443609845,-121.82092401395109,1.8623797185735524,2.07870424400976e-07
0.25,1.962326354092815e-07,-121.13427531382568,-131.77674209309552,-121.52599595681382,1.8688722795399806,2.0921758163800875e-07
0.255,2.207001603042512e-07,-120.11364707118042,-126.09384082948264,-121.3765871303392,2.097089251071436,2.078524250256347e-07
0.26,2.0806690164308464e-07,-120.62564004191654,-128.5703380189231,-121.38553851355485,1.983022444614381,2.042545413349926e-07
0.265,2.1906489515226296e-07,-120.17824428248451,-126.22174988678692,-121.42002318643199,2.092875235305359,1.9968788622251605e-07
0.27,2.125346382073305e-07,-120.44110564209048,-127.1075743556284,-121.49491758251699,2.0534930369279896,1.957567498923073e-07
0.275,2.1418655489026507e-07,-120.37385593475366,-129.2978772794483,-120.96926076559566,1.9368471391207627,1.9384216142368381e-07
0.28,2.0741955473940998e-07,-120.65270609052666,-128.74927839063844,-121.38415931058903,1.9754554232249004,1.946167259180705e-07
0.28500000000000003,2.0507217152822257e-07,-120.75156543879336,-126.42110194872599,-122.12457664800695,2.118376558799483,1.978083347532517e-07
0.29,2.1562581635547185e-07,-120.31568491032863,-129.10285649155117,-120.9315667398893,1.942941594946217,2.0229575878809562e-07
0.295,1.8364474016752063e-07,-121.71013016173875,-128.8444875080397,-122.64380648838886,2.026202636406796,2.0650254211703498e-07
0.3,1.9412533994898206e-07,-121.22805545803288,-134.0436136167452,-121.46131491929837,1.801514568541196,2.0895081940555846e-07
0.305,1.976267391189565e-07,-121.07278594822922,-126.42184150802998,-122.57126445198806,2.1414602032113974,2.0878049783426895e-07
0.31,2.2729262741022395e-07,-119.85799306462721,-125.52183239292255,-121.23312457932639,2.118776701528517,2.0605141227609582e-07
0.315,2.121322345161912e-07,-120.45756670991473,-130.60390299394987,-120.89918227165272,1.886983191458166,2.017223049875261e-07
0.32,1.9574240883203557e-07,-121.15600147333626,-127.9857274623127,-122.16603311506714,2.043759940087426,1.9731401436000847e-07
0.325,1.750253814700434e-07,-122.12767938585303,-126.57450856313795,-124.06034647704902,2.2134473102567376,1.9437519631267294e-07
0.33,1.9324572190457886e-07,-121.26750227862152,-126.05040210413895,-123.02258300323953,2.185325548689983,1.9393827323977873e-07
0.335,1.837590379915874e-07,-121.70472587154491,-125.21402494261278,-124.26749788822397,2.301815532775311,1.9615673853824897e-07
0.34,2.0578861291175308e-07,-120.72127324575618,-133.97875920699775,-120.93140909212457,1.7898776671558503,2.0025123356180607e-07
0.34500000000000003,1.6377758864533906e-07,-122.70461059225588,-132.85301863880758,-123.14600446035581,1.8869051667249117,2.0478334045421832e-07
0.35000000000000003,1.994428023064689e-07,-120.99333268995548,-125.48070953303821,-122.90343686603264,2.2099650175628596,2.0816090598465026e-07
0.355,2.1055661893561752e-07,-120.52232207935941,-128.8945156802278,-121.20506119707093,1.9621157802868074,2.0919737343692222e-07
0.36,1.9933938354267828e-07,-120.99783782594602,-132.4057584804945,-121.32381653622824,1.8430555746720063,2.0752862628819724e-07
0.365,2.138795307465924e-07,-120.38631559168482,-128.37091855253016,-121.13862524822599,1.9810189614040796,2.0374090427804068e-07
0.37,2.107633929202946e-07,-120.51379641665845,-129.53998653140624,-121.09438912573914,1.932368458122987,1.9916485427316116e-07
0.375,1.8976763616596392e-07,-121.42525708627716,-127.33381631347002,-122.71264301118073,2.101907035917755,1.9540806695327822e-07
0.38,1.943249988258181e-07,-121.21912656829298,-128.79583627345622,-122.05308458961348,2.0020265028471855,1.937903216640483e-07
0.385,1.748285531070864e-07,-122.13745277668671,-130.7171235040888,-122.78583820364753,1.9523962902324983,1.9487994092081828e-07
0.39,1.6428471190370123e-07,-122.67775703330588,-130.0119901083211,-123.56483138550146,2.0150916322249124,1.982941356894302e-07
0.395,2.2522979077321587e-07,-119.93718337548097,-125.41190014500208,-121.38492354172013,2.132267421144388,2.0283348120771701e-07
0.4,2.1819189661081636e-07,-120.21292769599997,-129.83727236668716,-120.71432077389089,1.9073163678443628,2.0690328127711405e-07
0.405,2.1266969524825206e-07,-120.43558786863692,-126.03478173880686,-121.83504811044237,2.123342455405105,2.0907379350999266e-07
0.41000000000000003,2.1607060946897828e-07,-120.29778610444696,-126.21361557456962,-121.58266624994195,2.1014156399940807,2.0858250542679705e-07
0.41500000000000004,1.9432684852088365e-07,-121.21904389148435,-127.31403885212679,-122.44391343714831,2.0894781467715307,2.0560200914141583e-07
0.42,2.1476266216385664e-07,-120.35052446796018,-132.86704664565204,-120.60089931349512,1.8097505767697422,2.0117936883457438e-07
0.425,2.0711650403233804e-07,-120.66540590473872,-131.44703033128965,-121.0442188847511,1.86399297984285,1.9686828154399026e-07
0.43,1.673962429522977e-07,-122.51478591446815,-132.1150579920758,-123.0191341431761,1.9082874070842946,1.9418325514007785e-07
0.435,1.814375049774505e-07,-121.81515874156159,-127.66769967661025,-123.12204270824049,2.1057119491330814,1.9406755366434182e-07
0.44,1.7478192718954886e-07,-122.13976956979923,-130.6704493186307,-122.79609528722983,1.9546669975933968,1.9656182365994158e-07
0.445,1.8114094416128206e-07,-121.82936750162855,-127.7741781209927,-123.10431475588798,2.099462285925276,2.007898148251203e-07
0.45,2.1146603126076828e-07,-120.4848877505874,-125.86274276831425,-121.97155498065533,2.1393368325094704,2.052662113998166e-07
0.455,2.1083445935306977e-07,-120.51086815127675,-128.0458573543098,-121.35371012402247,2.0042429783201277,2.0841843148380286e-07
0.46,1.930861230464905e-07,-121.27467879365486,-128.71391559326233,-122.13830673472498,2.009379184014737,2.0913908341351845e-07
0.465,2.1815086211243286e-07,-120.21456137098707,-130.33963366086633,-120.65845911595471,1.8877852078359874,2.0717499833715947e-07
0.47000000000000003,1.9957694853799137e-07,-120.98749248077385,-125.05213499672436,-123.1500672373459,2.247567413574725,2.0321616977742867e-07
0.47500000000000003,2.354212395980194e-07,-119.5527872008158,-125.91663723060925,-120.69353286599829,2.0721650572524117,1.9865335524100617e-07
0.48,1.9665924235666293e-07,-121.11541280976431,-132.04780964373367,-121.48074083508645,1.858801814015322,1.9508949571722102e-07
0.485,1.965999994075463e-07,-121.11802979961276,-129.6086431082438,-121.78092723266002,1.9565351613024526,1.9377659399191622e-07
0.49,2.260417786122674e-07,-119.90592572555416,-127.0843835669529,-120.82909099147508,2.023723902069942,1.9517587941676775e-07
0.495,1.8585316820225465e-07,-121.60630066681793,-129.1394128274895,-122.44954477589643,2.0043430035102037,1.9879577558748382e-07
0.5,2.8895800880031515e-07,-117.77300532465202,-124.3899229885626,-118.84052457633581,2.056493493185687,2.0336459374642624e-07
0.505,2.1320537720669923e-07,-120.41373696856327,-126.78875972063912,-121.5511320343164,2.071460645814196,2.0727728379977693e-07
0.51,2.029230176632685e-07,-120.84307380183851,-127.62657002045859,-121.86529183201452,2.0464925853103164,2.0915929694328553e-07
0.515,1.7898138648274923e-07,-121.93354268277447,-128.12847492293025,-123.12634044406232,2.082960259627203,2.083494719603159e-07
0.52,2.113560265924648e-07,-120.48940732761687,-132.2081407271551,-120.79206809428116,1.8332549569283798,2.0513230467006532e-07
0.525,1.7736275244611637e-07,-122.01245164613854,-133.13628260258508,-122.36137545637719,1.8523502837961434,2.00638003034726e-07
0.53,1.6949216695489702e-07,-122.40670739987863,-128.5181398973339,-123.62623455746437,2.088399270442102,1.964454390974608e-07
0.535,2.1235748537957186e-07,-120.44834856289191,-128.98869492807907,-121.10309929291148,1.954217775148108,1.9402748284493672e-07
0.54,1.8767357849639897e-07,-121.5216373422289,-126.84760273157723,-123.02966581284052,2.1431698245862907,1.9423357515550565e-07
0.545,2.1969298860700786e-07,-120.15337610639527,-126.96476613338135,-121.1682215926111,2.044841581838263,1.9699131470547595e-07
0.55,2.0831168427763658e-07,-120.61542743605318,-125.79081998222172,-122.1875330691759,2.1544781840118055,2.013318929388008e-07
0.555,2.062189134297455e-07,-120.70313015889266,-128.47412433049792,-121.49704934624056,1.9918726170625896,2.057304416601926e-07
0.56,2.2027521824226466e-07,-120.13038723933968,-127.6953852488,-120.96682870536242,2.0026474044511358,2.0864172733390318e-07
0.5650000000000001,2.3764173570062e-07,-119.47124572856289,-125.21515221064723,-120.81692536640232,2.1131859975244867,2.0904299983480997e-07
0.5700000000000001,1.7685955711315526e-07,-122.0371293807169,-130.5211852832102,-122.70110910095897,1.9568418678027786,2.0679329000134404e-07
0.5750000000000001,2.212399740425934e-07,-120.09242806650633,-144.6371130434642,-120.10770652407928,1.630091627066768,2.0268293285093227e-07
0.58,2.0067262841875672e-07,-120.93993726101147,-128.29492439725152,-121.82232223305027,2.013955850686282,1.981559186892474e-07
0.585,1.7281817281670217e-07,-122.2379118616327,-131.16736429060566,-122.83251922406035,1.9366075397350921,1.948026116437622e-07
0.59,1.7767411517848824e-07,-121.99721681690957,-128.64054834630528,-123.05740435553732,2.0548913396573205,1.9380104629600684e-07
0.595,1.9497353032889612e-07,-121.19018693532914,-128.12975620539984,-122.1719106993119,2.03734013977517,1.9550307787406327e-07
0.6,1.952592991567278e-07,-121.1774655200268,-130.5813716081679,-121.70662044465564,1.9163225120996226,1.9931077364149855e-07
0.605,2.1056283825745744e-07,-120.52206552344774,-127.61514203610108,-121.4657014965224,2.02853706854358,2.038864698445494e-07
0.61,1.9459451565191427e-07,-121.20708811974683,-125.81793597722387,-123.05045971464892,2.1995147241148674,2.0762270009595872e-07
0.615,2.1032140496098863e-07,-120.53203055887917,-129.50033271168576,-121.12096667123515,1.9348986321222934,2.092069068574463e-07
0.62,2.203273030264488e-07,-120.12833367556047,-126.31102227630353,-121.3250085033248,2.0837534775523183,2.0808254987665483e-07
0.625,1.573647563495308e-07,-123.05155057016538,-131.13985448392773,-123.78452223240366,1.975863362180589,2.0464462173475592e-07
0.63,2.2095027611736213e-07,-120.10380907079592,-125.92683205931358,-121.42110464178138,2.107730256050445,2.001008848540501e-07
0.635,1.712697418729227e-07,-122.31608717965477,-127.95437976410005,-123.70077346763722,2.120575420716304,1.9604757814205162e-07
0.64,1.7146569684346531e-07,-122.30615506735265,-129.29921122337714,-123.27441657434734,2.034250789065009,1.9390864978230406e-07
0.645,1.8807798817582483e-07,-121.5029406313597,-126.56249421035503,-123.1265577215691,2.1633713875382754,1.9443551667192418e-07
0.65,2.1297720428785251e-07,-120.42303760667903,-128.57172812033053,-121.14499791209268,1.9728946015849462,1.9744308767329265e-07
0.655,2.2770374854715178e-07,-119.84229643940665,-128.74135529685594,-120.44138136430433,1.937950604935983,2.0187478711410722e-07
0.66,2.3652257273947055e-07,-119.51224815681894,-124.43879151951931,-121.19753020427865,2.1737978820850934,2.0617373543475337e-07
0.665,2.406988858910125e-07,-119.36021844164067,-126.58706027487543,-120.27200255347788,2.021022253620937,2.0882968924945153e-07
0.67,2.0372058816454045e-07,-120.80900161608852,-129.57123474796614,-121.4286956711944,1.9440641548125244,2.0890959787175355e-07
0.675,1.851895361024151e-07,-121.63737116764771,-131.42905123437316,-122.11872182158314,1.9006491245676984,2.063853889780823e-07
0.68,2.3174343785304014e-07,-119.68955113693787,-128.73241327567155,-120.26776439771588,1.931643324728764,2.0214383056415545e-07
0.685,2.238065407135239e-07,-119.99224455194584,-125.70661951812622,-121.3487007257861,2.115239843000353,1.9767500463660385e-07
