DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)
0.0,-107.23319455303069,-115.31872539472177,-107.96667624100793,1.1655923728514568,-106.3883806143542
0.005,-106.29908487045348,-114.57690034019129,-106.99809695620397,1.1749650526414879,-106.32177575017072
0.01,-106.16154177634021,-116.94135740423376,-106.54051965146009,1.2775367977780157,-106.2527285916563
0.015,-107.85266330364138,-115.58862897220101,-108.65364273394621,1.1479095058813975,-106.18204874664713
0.02,-106.27207514687613,-116.67736228860957,-106.68686691551132,1.2642042389748962,-106.11056702934623
0.025,-106.34997698331075,-116.5343503959642,-106.78754088885421,1.2560387029919071,-106.03912466927997
0.03,-106.18491976266506,-115.44859263602567,-106.73258148649438,1.2194051045642698,-105.96856238496481
0.035,-105.85999991556548,-113.90720199995295,-106.60057071946909,1.16369460272125,-105.8997094642016
0.04,-105.7214337804305,-114.12347920569141,-106.39911138238469,1.1808920515240309,-105.83337299282836
0.045,-106.38649443213376,-114.51277666110124,-107.11251972980008,1.1675992493686136,-105.77032737183487
0.05,-106.05561329695954,-117.40326158194691,-106.3863254575922,1.2965924679744727,-105.7113042589975
0.055,-107.10173920734368,-117.13094127201516,-107.55608152667618,1.2501643529964286,-105.6569830656785
0.06,-105.78404777257211,-114.46092098960597,-106.41698332076714,1.193657894013158,-105.60798213222368
0.065,-106.6432758995139,-115.6281964377038,-107.22980376419412,1.207422355484372,-105.56485069657894
0.07,-104.88569981637968,-113.39142383783991,-105.54611049039426,1.1857632326347085,-105.52806176044285
0.075,-105.55499181030102,-115.68883682368765,-105.9979465127546,1.2541385910018477,-105.49800594561557
0.08,-106.27844339999363,-116.35592633950728,-106.72749380595127,1.2520046119240802,-105.47498642034289
0.085,-105.77688846603687,-117.78127178348714,-106.05964126868494,1.3170191767976156,-105.45921496155644
0.09,-106.30917763727948,-116.51075090699058,-106.74492228935252,1.2566827159875182,-105.45080920415806
0.095,-105.17348697154311,-113.46464604722894,-105.87017305812454,1.1756064497768077,-105.44979111307762
0.1,-106.1824742358186,-115.68758615042935,-106.69868622969305,1.2294369317425573,-105.45608669795163
0.105,-106.23454307279206,-116.9036713583456,-106.62375557296542,1.2736618385762104,-105.46952697413052
0.11,-106.92389806349738,-116.300929090145,-107.45654755626525,1.224154417011074,-105.48985015753317
0.115,-105.1233719470172,-117.25188681780197,-105.39790012575651,1.3206977602276948,-105.51670506484267
0.12,-106.45295532476587,-115.75298297932405,-106.99575408768675,1.2209358974752422,-105.54965567487986
0.125,-106.18118613422021,-117.3331129713944,-106.52776770775566,1.290176316698522,-105.58818679190989
0.13,-106.18298400196922,-114.72009801277592,-106.83826092774665,1.187224730685908,-105.63171073732427
0.135,-106.18780902236041,-115.3191139674366,-106.7535725410315,1.2137696043885182,-105.6795749827824
0.14,-105.65507486912725,-114.19165285942634,-106.31043909784356,1.1871998254403793,-105.73107062566955
0.145,-106.42252246078527,-115.01326272994908,-107.06912813872391,1.189707373895607,-105.78544159678613
0.15,-106.03570560037633,-114.26669656701941,-106.74294669542597,1.1727051208517822,-105.8418944806729
0.155,-105.55795650482386,-114.31313711279483,-106.1787332333272,1.1972103672623509,-105.89960882101886
0.16,-106.26311324943995,-117.69579018532922,-106.58716816913272,1.2993316031093207,-105.95774777729798
0.165,-107.3268054191611,-116.1214831826198,-107.94154474467403,1.1989882093708397,-106.01546899421832
0.17,-106.59121661553368,-117.81163295470627,-106.93215678241509,1.292439345505888,-106.07193554280322
0.17500000000000002,-106.4651965911352,-118.57532557688279,-106.74092721595352,1.320156431997116,-106.12632679099302
0.18,-106.39003919901839,-115.32323662017924,-106.98409733465766,1.2051502290347647,-106.17784906257172
0.185,-106.1650280745036,-114.03415623975961,-106.93952753280257,1.1547459348497773,-106.22574594597167
0.19,-106.66656111361662,-116.19566775036344,-107.17975402078258,1.2304168304248095,-106.26930811905699
0.195,-105.3619462224615,-114.8575690067166,-105.87935735917785,1.2290485718863002,-106.30788256227365
0.2,-105.96271238533268,-114.87748468078212,-106.55947792752899,1.2043370848622212,-106.34088104049765
0.20500000000000002,-106.36740277257475,-114.86073141935839,-107.0298526013797,1.1851844165790588,-106.3677877434119
0.21,-106.10339265256648,-115.10456900070713,-106.68757499515638,1.208133257393321,-106.38816598517214
0.215,-106.37682473891608,-115.17917043293392,-106.99039928753406,1.1993322788369292,-106.40166387634049
0.22,-106.1384421543677,-115.54549518037447,-106.6671894779089,1.2254005324376607,-106.40801889441471
0.225,-105.88573250435076,-114.80692790037297,-106.4815527334718,1.2046207760682743,-106.40706129358718
0.23,-105.91593318484007,-114.51539513807232,-106.5611403032689,1.190109466716612,-106.39871630944414
0.23500000000000001,-105.39899777330838,-114.60921136525863,-105.95389484514823,1.217140845680799,-106.3830051299694
0.24,-106.09795350756896,-115.23606083369515,-106.66277140012659,1.2140615997047122,-106.36004462023946
0.245,-105.36606486799928,-116.06419176373782,-105.75256841793572,1.2746822482271534,-106.33004580438669
0.25,-105.92690771719391,-115.1791199686599,-106.4761120553314,1.2189210231347445,-106.29331112454834
0.255,-106.84993997688434,-118.41211817082811,-107.16412167103967,1.3034482873470123,-106.25023051240461
0.26,-106.01403110272932,-113.24230658698248,-106.92548036537687,1.1206501685821304,-106.20127632433292
0.265,-106.63275551324608,-118.08767015968337,-106.95509240367906,1.3000432193808533,-106.14699720596573
0.27,-105.94691009998078,-115.06322757344229,-106.51476305087193,1.2131253402565414,-106.08801096584477
0.275,-106.14442034357481,-115.99261618120381,-106.61919464429032,1.2431630647075242,-106.02499655073652
