PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm,Phase_rad
1e-08,3.2729599064449687e-06,-96.69088633815555,3.0011139954018748e-06,-97.44405020061636,-2.0551845228384
1.0995e-07,3.2445304203912554e-06,-96.76666303505435,3.0067751654325545e-06,-97.4276809530001,-2.0350627056951622
2.0990000000000002e-07,3.2529442333524043e-06,-96.74416768245675,3.0144834967757835e-06,-97.40544183135684,-2.0860056358282177
3.0985000000000004e-07,3.2431102766803025e-06,-96.77046571535571,3.0242247336924706e-06,-97.37741882413104,-2.0387363119700197
4.0980000000000003e-07,3.285162982104924e-06,-96.65856163410184,3.035976539972515e-06,-97.3437318174674,-2.057719678058688
5.097500000000001e-07,3.19567250050182e-06,-96.89845473385478,3.04970858621097e-06,-97.30453319378186,-2.0479350315288
6.097000000000001e-07,3.157932983106481e-06,-97.00164185781765,3.065382668316687e-06,-97.26000609195071,-2.0452535393939733
7.096500000000001e-07,3.2049357765760804e-06,-96.87331342029202,3.0829528567903898e-06,-97.21036236876081,-2.0707528590175412
8.096e-07,3.2102226532836896e-06,-96.85899694205983,3.1023656761888898e-06,-97.15584030668347,-2.0359295061862968
9.0955e-07,3.3224737184703867e-06,-96.56046895817347,3.123560314074201e-06,-97.0967021167864,-2.035532164682271
1.0095e-06,3.1866763357913568e-06,-96.9229409371616,3.1464688586311223e-06,-97.0332312876306,-2.052835281294109
1.10945e-06,3.3089360120723467e-06,-96.59593266554593,3.171016564024806e-06,-96.96572983135337,-2.0237237072023477
1.2094e-06,3.2817595314582206e-06,-96.66756493794522,3.197122142461478e-06,-96.89451547692714,-2.0195252631788896
1.30935e-06,3.393438231473523e-06,-96.3769010749136,3.224698081811104e-06,-96.81991885799009,-2.023403297299183
1.4093e-06,3.4904941095545376e-06,-96.13196185452725,3.253650987550927e-06,-96.74228073889091,-2.0426420480748257
1.50925e-06,3.4069783442390576e-06,-96.34231258190795,3.2838819476937804e-06,-96.66194931793648,-1.9992645231454949
1.6092e-06,3.350110442672046e-06,-96.48851755126564,3.3152869192752534e-06,-96.57927764154101,-1.9950102912901926
1.70915e-06,3.564483266301069e-06,-95.94976843875912,3.347757134889558e-06,-96.49462115731265,-1.9886637730001364
1.8091e-06,3.4583487385015553e-06,-96.21232433880537,3.3811795276856023e-06,-96.40833542832124,-2.0180529854256806
1.90905e-06,3.530958301581008e-06,-96.03184826644095,3.415437173162654e-06,-96.32077402508486,-2.0216873108604214
2.009e-06,3.5592779922873993e-06,-95.96246185787408,3.4504097460393235e-06,-96.23228660637366,-2.0143754869700907
2.10895e-06,3.5634191032348924e-06,-95.95236196558909,3.4859739904107013e-06,-96.14321719489877,-1.9490915143709984
2.2089e-06,3.5382887588031454e-06,-96.01383458982008,3.522004201356571e-06,-96.05390264943526,-2.0379377768651845
2.30885e-06,3.662930474706234e-06,-95.71312653350358,3.5583727161188678e-06,-95.96467133098714,-2.006558209350488
2.4088e-06,3.797389248898789e-06,-95.39999771349854,3.594950412929159e-06,-95.87584195727013,-1.997819422942325
2.50875e-06,3.6270933777298014e-06,-95.79852531492897,3.631607215537043e-06,-95.78772263707009,-1.9507896382739016
2.6087e-06,3.668527666491518e-06,-95.6998640695737,3.6682126014680706e-06,-95.7006100739092,-1.9885029243835421
