# freq_Hz, amplitude_dBm
7.125000000000000000e+09,-8.747639711862758816e+01
7.125100000000000000e+09,-8.741665245998922273e+01
7.125200000000000000e+09,-8.743551584095799001e+01
7.125300000000000000e+09,-8.748342424074772339e+01
7.125400000000000000e+09,-8.746226646337832733e+01
7.125500000000000000e+09,-8.739853775893948296e+01
7.125600000000000000e+09,-8.744579258570068703e+01
7.125700000000000000e+09,-8.741648854053866557e+01
7.125800000000000000e+09,-8.735506213159615641e+01
7.125900000000000000e+09,-8.740270501538628878e+01
7.126000000000000000e+09,-8.737017918107399339e+01
7.126100000000000000e+09,-8.739690317529614560e+01
7.126200000000000000e+09,-8.742523224739940702e+01
7.126300000000000000e+09,-8.732571847391892561e+01
7.126400000000000000e+09,-8.735864824198215217e+01
7.126500000000000000e+09,-8.744263400776851825e+01
7.126600000000000000e+09,-8.743681004253326705e+01
7.126700000000000000e+09,-8.742756448817954151e+01
7.126800000000000000e+09,-8.745038237803876768e+01
7.126900000000000000e+09,-8.729544179173359453e+01
7.127000000000000000e+09,-8.740686498089374368e+01
7.127100000000000000e+09,-8.747946507496308755e+01
7.127200000000000000e+09,-8.737810951426880024e+01
7.127300000000000000e+09,-8.739942143844510269e+01
7.127400000000000000e+09,-8.735915743812179812e+01
7.127500000000000000e+09,-8.744314738767555184e+01
7.127600000000000000e+09,-8.742173138940361810e+01
7.127700000000000000e+09,-8.734258425812605253e+01
7.127800000000000000e+09,-8.734616150488147923e+01
7.127900000000000000e+09,-8.740884998566961883e+01
7.128000000000000000e+09,-8.725084127546155344e+01
7.128100000000000000e+09,-8.733662503684855949e+01
7.128200000000000000e+09,-8.739615186678005898e+01
7.128300000000000000e+09,-8.743983242821639124e+01
7.128400000000000000e+09,-8.739631628793642903e+01
7.128500000000000000e+09,-8.735401906020443619e+01
7.128600000000000000e+09,-8.742001836454620900e+01
7.128700000000000000e+09,-8.743959267486275166e+01
7.128800000000000000e+09,-8.739655575765257822e+01
7.128900000000000000e+09,-8.734967902854680233e+01
7.129000000000000000e+09,-8.731625679915583760e+01
7.129100000000000000e+09,-8.739097735375707998e+01
7.129200000000000000e+09,-8.734311407173869668e+01
7.129300000000000000e+09,-8.739204865259695509e+01
7.129400000000000000e+09,-8.741907773666238768e+01
7.129500000000000000e+09,-8.741973550570534712e+01
7.129600000000000000e+09,-8.732586253826872280e+01
7.129700000000000000e+09,-8.733708723171847055e+01
7.129800000000000000e+09,-8.738710447320474373e+01
7.129900000000000000e+09,-8.734055600756281024e+01
7.130000000000000000e+09,-8.743053180105403044e+01
7.130100000000000000e+09,-8.732733913087156452e+01
7.130200000000000000e+09,-8.741175161275116068e+01
7.130300000000000000e+09,-8.730259732087145608e+01
7.130400000000000000e+09,-8.744876131978158185e+01
7.130500000000000000e+09,-8.731848646720004581e+01
7.130600000000000000e+09,-8.722384454219076133e+01
7.130700000000000000e+09,-8.736838364153283010e+01
7.130800000000000000e+09,-8.733001510139126822e+01
7.130900000000000000e+09,-8.730941285722066425e+01
7.131000000000000000e+09,-8.736862442845713872e+01
7.131100000000000000e+09,-8.736722156840373543e+01
7.131200000000000000e+09,-8.725149306318584763e+01
7.131300000000000000e+09,-8.733287860028084992e+01
7.131400000000000000e+09,-8.743226379706511864e+01
7.131500000000000000e+09,-8.724808341785220023e+01
7.131600000000000000e+09,-8.729548081984705732e+01
7.131700000000000000e+09,-8.719515136634433361e+01
7.131800000000000000e+09,-8.717740903081261195e+01
7.131900000000000000e+09,-8.732864401823968592e+01
7.132000000000000000e+09,-8.732540539141081126e+01
7.132100000000000000e+09,-8.719592101621741165e+01
7.132200000000000000e+09,-8.709494241717843011e+01
