# freq_Hz, phase_rad_detrended, phase_rad
7.125000000000000000e+09,5.842866684667180621e-02,-1.248596739691458790e+00
7.125066666666666985e+09,5.142103714201740061e-02,-1.280439382542826632e+00
7.125133333333333015e+09,5.523598690466124950e-02,-1.301459445926555158e+00
7.125200000000000000e+09,5.946778020093512751e-02,-1.322062665776987611e+00
7.125266666666666985e+09,5.849437777253529980e-02,-1.347871081351766920e+00
7.125333333333333015e+09,6.399185850639321771e-02,-1.367208613764288483e+00
7.125400000000000000e+09,5.425606142070260596e-02,-1.401779423996685425e+00
7.125466666666666985e+09,6.482335011708362238e-02,-1.416047148447010740e+00
7.125533333333333015e+09,6.664262461353098743e-02,-1.439062887096942855e+00
7.125600000000000000e+09,6.519156491652200458e-02,-1.465348959940658169e+00
7.125666666666666985e+09,6.798478524519868671e-02,-1.487390752758353862e+00
7.125733333333333015e+09,6.463667675440931681e-02,-1.515573874395522713e+00
7.125800000000000000e+09,6.970806826555997482e-02,-1.535337496031078386e+00
7.125866666666666985e+09,5.834217916937434190e-02,-1.571538398273970349e+00
7.125933333333333015e+09,5.095067012865106548e-02,-1.603764920461073107e+00
7.126000000000000000e+09,6.468435986285925310e-02,-1.614866243873571250e+00
7.126066666666666985e+09,7.518302435822366014e-02,-1.629202592524586324e+00
7.126133333333333015e+09,6.276392257967366994e-02,-1.666456707449508690e+00
7.126200000000000000e+09,6.998971900317996209e-02,-1.684065924172715834e+00
7.126266666666666985e+09,5.088786064199646297e-02,-1.728002795680605663e+00
7.126333333333333015e+09,7.659266554748356270e-02,-1.727133003921490939e+00
7.126400000000000000e+09,5.052360971440150728e-02,-1.778037072901286431e+00
7.126466666666666985e+09,7.229285376455862888e-02,-1.781102841997835640e+00
7.126533333333333015e+09,4.317441429903312589e-02,-1.835056294609406669e+00
7.126600000000000000e+09,4.080791141078687900e-02,-1.862257810644359246e+00
7.126666666666666985e+09,7.051388524625146204e-02,-1.857386849955600994e+00
7.126733333333333015e+09,5.928175322550566229e-02,-1.893453995122726274e+00
7.126800000000000000e+09,6.373236384416181011e-02,-1.913838397650776457e+00
7.126866666666666985e+09,5.979077569780977264e-02,-1.942614998943834825e+00
7.126933333333333015e+09,5.456223512738134218e-02,-1.972678552660308782e+00
7.127000000000000000e+09,5.469575211555688377e-02,-1.997380048818839571e+00
7.127066666666666985e+09,4.312890648226286316e-02,-2.033781907598847027e+00
7.127133333333333015e+09,5.918401789398020085e-02,-2.042561809333502065e+00
7.127200000000000000e+09,5.955925550836971283e-02,-2.067021584865818884e+00
7.127266666666666985e+09,4.926732224591878762e-02,-2.102148531274976140e+00
7.127333333333333015e+09,4.913824791811638448e-02,-2.127112618748831174e+00
7.127400000000000000e+09,6.246281053609603617e-02,-2.138623069277557853e+00
7.127466666666666985e+09,7.199132551192333196e-02,-2.153929567448436888e+00
7.127533333333333015e+09,6.381761318917655856e-02,-2.186938292917563142e+00
7.127600000000000000e+09,3.276965684083821273e-02,-2.242821262412607819e+00
7.127666666666666985e+09,6.772252444088833201e-02,-2.232703407959264030e+00
7.127733333333333015e+09,4.362170295881329096e-02,-2.281639242587384597e+00
7.127800000000000000e+09,5.378497278116789460e-02,-2.296310985911736324e+00
7.127866666666666985e+09,5.771176373810860127e-02,-2.317219208101501948e+00
7.127933333333333015e+09,5.744137883146827050e-02,-2.342324606154521760e+00
7.128000000000000000e+09,5.049961758478049845e-02,-2.374101380547915863e+00
7.128066666666666985e+09,6.074808081088045597e-02,-2.388687930468522236e+00
7.128133333333333015e+09,4.577695454384089757e-02,-2.428494069881941275e+00
7.128200000000000000e+09,5.879690870731080210e-02,-2.440309128864843746e+00
7.128266666666666985e+09,3.859228878106790717e-02,-2.485348761937800077e+00
7.128333333333333015e+09,6.031309016356711794e-02,-2.488462973701673242e+00
7.128400000000000000e+09,6.002093755109649820e-02,-2.513590139460850192e+00
7.128466666666666985e+09,6.442949045451396017e-02,-2.534016599704146167e+00
7.128533333333333015e+09,4.844592885911325197e-02,-2.574835174445919250e+00
7.128600000000000000e+09,5.517375989753370291e-02,-2.592942356553878280e+00
7.128666666666666985e+09,7.345394353431178303e-02,-2.599497186063806531e+00
7.128733333333333015e+09,7.299415295114419777e-02,-2.624791989793353597e+00
7.128800000000000000e+09,7.622776729334157508e-02,-2.646393388597862550e+00
7.128866666666666985e+09,5.068360001746397003e-02,-2.696772569020446486e+00
7.128933333333333015e+09,6.384589460134426631e-02,-2.708445287582945671e+00
7.129000000000000000e+09,7.529375292024020894e-02,-2.721832442410422104e+00
7.129066666666666985e+09,7.404326609544931159e-02,-2.747917942381919332e+00
7.129133333333333015e+09,5.718108645650588073e-02,-2.789615135167242244e+00
7.129200000000000000e+09,6.075844174782929485e-02,-2.810872793022625160e+00
7.129266666666666985e+09,5.771210803936499545e-02,-2.838754139877795790e+00
7.129333333333333015e+09,6.535176520028551650e-02,-2.855949495863254750e+00
7.129400000000000000e+09,6.651100914108987183e-02,-2.879625265069156725e+00
7.129466666666666985e+09,5.693795369452292476e-02,-2.914033333662103153e+00
7.129533333333333015e+09,5.787770976221828789e-02,-2.937928590740780166e+00
7.129600000000000000e+09,6.879871078065402656e-02,-2.951842602869057863e+00
7.129666666666666985e+09,5.914951782222477306e-02,-2.986326808974193447e+00
7.129733333333333015e+09,6.042105457002833191e-02,-3.009890285372762264e+00
7.129800000000000000e+09,4.432705117436031017e-02,-3.050819301915143722e+00
7.129866666666666985e+09,5.339057326031948492e-02,-3.066590792975556923e+00
7.129933333333333015e+09,6.339032686980861087e-02,-3.081426052512447278e+00
7.130000000000000000e+09,2.704727459438904802e-02,-3.142604117934573171e+00
7.130066666666666985e+09,4.296927153437346547e-02,-3.151517134141295085e+00
7.130133333333333015e+09,3.991489488604260671e-02,-3.179406523936005424e+00
7.130200000000000000e+09,4.205940596343804572e-02,-3.202097026005316316e+00
7.130266666666666985e+09,7.079650740472942516e-02,-3.198194937710731267e+00
7.130333333333333015e+09,5.347879690664569807e-02,-3.240347661354860520e+00
7.130400000000000000e+09,5.131640181936880651e-02,-3.267345069588843742e+00
7.130466666666666985e+09,5.831992320631851356e-02,-3.285176561348607471e+00
7.130533333333333015e+09,6.257431787169220883e-02,-3.305757179829606152e+00
7.130600000000000000e+09,4.428249997576916286e-02,-3.348884010872235528e+00
7.130666666666666985e+09,6.384925236072946930e-02,-3.354152271633988658e+00
7.130733333333333015e+09,7.517534019056038019e-02,-3.367661196950203273e+00
7.130800000000000000e+09,6.246745071737347388e-02,-3.405204099570096510e+00
7.130866666666666985e+09,5.058491391424624339e-02,-3.441921649519930071e+00
7.130933333333333015e+09,4.609070374020651784e-02,-3.471250872840349277e+00
7.131000000000000000e+09,4.336341991382441918e-02,-3.498813169813437707e+00
7.131066666666666985e+09,5.502882371821593566e-02,-3.511982779155752521e+00
7.131133333333333015e+09,4.640538719337294893e-02,-3.545441228826641034e+00
7.131200000000000000e+09,3.887804078178191958e-02,-3.577803588384938394e+00
7.131266666666666985e+09,5.385131787392660740e-02,-3.587665324439500036e+00
7.131333333333333015e+09,6.296799028500466022e-02,-3.603383665174801465e+00
