# freq_Hz, amplitude_dBm
7.229264049167258263e+09,-9.136298010939314906e+01
7.229266549167258263e+09,-9.133360393183818360e+01
7.229269049167258263e+09,-9.128061559857883367e+01
7.229271549167258263e+09,-9.141466574706313963e+01
7.229274049167258263e+09,-9.139672963466898636e+01
7.229276549167258263e+09,-9.132275988064262151e+01
7.229279049167258263e+09,-9.125879716330038605e+01
7.229281549167258263e+09,-9.141105868957168923e+01
7.229284049167258263e+09,-9.129021342965786801e+01
7.229286549167258263e+09,-9.138723814007968826e+01
7.229289049167258263e+09,-9.128114335871599394e+01
7.229291549167258263e+09,-9.143780530737664947e+01
7.229294049167258263e+09,-9.140878797361384045e+01
7.229296549167258263e+09,-9.139321152441985419e+01
7.229299049167258263e+09,-9.137843974076454856e+01
7.229301549167258263e+09,-9.140675794763735951e+01
7.229304049167258263e+09,-9.135657227601379304e+01
7.229306549167258263e+09,-9.141140168958571621e+01
7.229309049167258263e+09,-9.143584513845345896e+01
7.229311549167258263e+09,-9.130225456219420721e+01
7.229314049167258263e+09,-9.139322452818900899e+01
7.229316549167258263e+09,-9.137259727658994279e+01
7.229319049167258263e+09,-9.132374376795567628e+01
7.229321549167258263e+09,-9.129121861659447745e+01
7.229324049167258263e+09,-9.129212045970302825e+01
7.229326549167258263e+09,-9.123330833731060352e+01
7.229329049167258263e+09,-9.145896490709928628e+01
7.229331549167258263e+09,-9.136854214668881013e+01
7.229334049167258263e+09,-9.130955362266172415e+01
7.229336549167258263e+09,-9.124897328866067880e+01
7.229339049167258263e+09,-9.144531701309455229e+01
7.229341549167258263e+09,-9.136303728071322894e+01
7.229344049167258263e+09,-9.135558020726129769e+01
7.229346549167258263e+09,-9.131871223145907379e+01
7.229349049167258263e+09,-9.131744181426125806e+01
7.229351549167258263e+09,-9.130438144257843192e+01
7.229354049167258263e+09,-9.140686691122698448e+01
7.229356549167258263e+09,-9.130754776586954335e+01
7.229359049167258263e+09,-9.129950262132547323e+01
7.229361549167258263e+09,-9.136398476614054687e+01
7.229364049167258263e+09,-9.137326028193749039e+01
7.229366549167258263e+09,-9.129217963799804636e+01
7.229369049167258263e+09,-9.140096724376682857e+01
7.229371549167258263e+09,-9.131644428153121851e+01
7.229374049167258263e+09,-9.129208009128076640e+01
7.229376549167258263e+09,-9.137106487089863549e+01
7.229379049167258263e+09,-9.136100300661284734e+01
7.229381549167258263e+09,-9.137983888690706635e+01
7.229384049167258263e+09,-9.130862532560797717e+01
7.229386549167258263e+09,-9.135659913430663437e+01
7.229389049167258263e+09,-9.134053592983906356e+01
7.229391549167258263e+09,-9.134279956384753518e+01
7.229394049167258263e+09,-9.128137906716315797e+01
7.229396549167258263e+09,-9.131805962778568642e+01
7.229399049167258263e+09,-9.131171018706579900e+01
7.229401549167258263e+09,-9.145625303047724231e+01
7.229404049167258263e+09,-9.141669026863404213e+01
7.229406549167258263e+09,-9.136547565021119510e+01
7.229409049167258263e+09,-9.142759294031151285e+01
7.229411549167258263e+09,-9.128810119791782540e+01
7.229414049167258263e+09,-9.136977406995799811e+01
7.229416549167258263e+09,-9.128467435935404239e+01
7.229419049167258263e+09,-9.129489371939757802e+01
7.229421549167258263e+09,-9.128527478477417390e+01
7.229424049167258263e+09,-9.144766756143097552e+01
7.229426549167258263e+09,-9.140594607639945934e+01
7.229429049167258263e+09,-9.132049034724659009e+01
7.229431549167258263e+09,-9.140815937905392730e+01
7.229434049167258263e+09,-9.131056893645200034e+01
7.229436549167258263e+09,-9.146938250923068381e+01
7.229439049167258263e+09,-9.135018519567105955e+01
7.229441549167258263e+09,-9.134258777339735502e+01
7.229444049167258263e+09,-9.138267414464974081e+01
7.229446549167258263e+09,-9.142970974779007065e+01
7.229449049167258263e+09,-9.137246603568689807e+01
7.229451549167258263e+09,-9.134330794714833246e+01
7.229454049167258263e+09,-9.134394958564993772e+01
7.229456549167258263e+09,-9.138525018900503483e+01
7.229459049167258263e+09,-9.138347005364261122e+01
7.229461549167258263e+09,-9.141916385491933283e+01
7.229464049167258263e+09,-9.131687449492795849e+01
7.229466549167258263e+09,-9.141317873093805702e+01
7.229469049167258263e+09,-9.136957281945811360e+01
7.229471549167258263e+09,-9.142587287620331438e+01
7.229474049167258263e+09,-9.152271607539672971e+01
7.229476549167258263e+09,-9.149296058818565314e+01
7.229479049167258263e+09,-9.135535975383513119e+01
7.229481549167258263e+09,-9.132162211270610896e+01
7.229484049167258263e+09,-9.136286249171276097e+01
7.229486549167258263e+09,-9.147411774053922784e+01
7.229489049167258263e+09,-9.129817936367587095e+01
7.229491549167258263e+09,-9.130659597581230003e+01
7.229494049167258263e+09,-9.138015220485038981e+01
7.229496549167258263e+09,-9.139544160090557057e+01
7.229499049167258263e+09,-9.142733493253258814e+01
7.229501549167258263e+09,-9.142139783434726041e+01
7.229504049167258263e+09,-9.139445993072220631e+01
7.229506549167258263e+09,-9.137797359072990844e+01
7.229509049167258263e+09,-9.138141301756095913e+01
7.229511549167258263e+09,-9.139558056253210339e+01
7.229514049167258263e+09,-9.133417212789225914e+01
7.229516549167258263e+09,-9.141169661777473721e+01
7.229519049167258263e+09,-9.135134248276358448e+01
7.229521549167258263e+09,-9.134547864236694181e+01
7.229524049167258263e+09,-9.141993757953052580e+01
7.229526549167258263e+09,-9.144152734341248845e+01
7.229529049167258263e+09,-9.138157683809035348e+01
7.229531549167258263e+09,-9.141003156453349732e+01
7.229534049167258263e+09,-9.151610378334103757e+01
7.229536549167258263e+09,-9.140622248326933175e+01
7.229539049167258263e+09,-9.140401450337822098e+01
7.229541549167258263e+09,-9.131080298057172229e+01
7.229544049167258263e+09,-9.156141148240406835e+01
7.229546549167258263e+09,-9.141117343385209892e+01
7.229549049167258263e+09,-9.137347638397153560e+01
7.229551549167258263e+09,-9.137761594096892281e+01
7.229554049167258263e+09,-9.138339700417151334e+01
7.229556549167258263e+09,-9.143582486016987332e+01
7.229559049167258263e+09,-9.152060291519504176e+01
7.229561549167258263e+09,-9.141913231141444385e+01
7.229564049167258263e+09,-9.134716053177317008e+01
7.229566549167258263e+09,-9.142453362859818355e+01
7.229569049167258263e+09,-9.141834872796231082e+01
7.229571549167258263e+09,-9.143702788063578168e+01
7.229574049167258263e+09,-9.142486197790756819e+01
7.229576549167258263e+09,-9.146264797412115399e+01
7.229579049167258263e+09,-9.142118140155149320e+01
7.229581549167258263e+09,-9.140566585854980985e+01
7.229584049167258263e+09,-9.154351259467938462e+01
7.229586549167258263e+09,-9.134524638956206388e+01
7.229589049167258263e+09,-9.149896185422194606e+01
7.229591549167258263e+09,-9.138311135235048255e+01
7.229594049167258263e+09,-9.136704139620745480e+01
7.229596549167258263e+09,-9.150033278696228933e+01
7.229599049167258263e+09,-9.144846483480689869e+01
7.229601549167258263e+09,-9.142540873220954722e+01
7.229604049167258263e+09,-9.145011397967218159e+01
7.229606549167258263e+09,-9.147017007480837947e+01
7.229609049167258263e+09,-9.137303379967042360e+01
7.229611549167258263e+09,-9.143998753685778524e+01
7.229614049167258263e+09,-9.138904350779483821e+01
7.229616549167258263e+09,-9.137743736875513889e+01
7.229619049167258263e+09,-9.142003611008328789e+01
7.229621549167258263e+09,-9.154374923542228260e+01
7.229624049167258263e+09,-9.141327252015571503e+01
7.229626549167258263e+09,-9.156398682004268608e+01
7.229629049167258263e+09,-9.140089064581175649e+01
7.229631549167258263e+09,-9.139644719339705148e+01
7.229634049167258263e+09,-9.136215024546805807e+01
7.229636549167258263e+09,-9.146230887305389956e+01
7.229639049167258263e+09,-9.150397310093596559e+01
7.229641549167258263e+09,-9.148581996487733647e+01
7.229644049167258263e+09,-9.160474698628006252e+01
7.229646549167258263e+09,-9.150195625972621372e+01
7.229649049167258263e+09,-9.142283952926077006e+01
7.229651549167258263e+09,-9.143034827716320478e+01
7.229654049167258263e+09,-9.157948481066225099e+01
7.229656549167258263e+09,-9.151515514061379974e+01
7.229659049167258263e+09,-9.151473936277190546e+01
7.229661549167258263e+09,-9.152032194923972952e+01
7.229664049167258263e+09,-9.156478781972870706e+01
7.229666549167258263e+09,-9.151887026155318949e+01
7.229669049167258263e+09,-9.160029249344866287e+01
7.229671549167258263e+09,-9.145399656105924180e+01
7.229674049167258263e+09,-9.151816226597378545e+01
7.229676549167258263e+09,-9.172560132899536711e+01
7.229679049167258263e+09,-9.145539875128611129e+01
7.229681549167258263e+09,-9.143162915639264554e+01
7.229684049167258263e+09,-9.156008906190066909e+01
7.229686549167258263e+09,-9.148102492076847625e+01
7.229689049167258263e+09,-9.158099599557176873e+01
7.229691549167258263e+09,-9.149028166414566954e+01
7.229694049167258263e+09,-9.149770758535281345e+01
7.229696549167258263e+09,-9.145067028203094139e+01
7.229699049167258263e+09,-9.159438654745201802e+01
