# freq_Hz, amplitude_dBm
7.125000000000000000e+09,-9.370529351242076643e+01
7.125063333333333015e+09,-9.452616635017177771e+01
7.125126666666666985e+09,-9.329213747304706317e+01
7.125190000000000000e+09,-9.396229772929962110e+01
7.125253333333333015e+09,-9.493465978913746994e+01
7.125316666666666985e+09,-9.364840531135723722e+01
7.125380000000000000e+09,-9.380737076139338626e+01
7.125443333333333015e+09,-9.393567460237223088e+01
7.125506666666666985e+09,-9.384653179926485222e+01
7.125570000000000000e+09,-9.425224724819229039e+01
7.125633333333333015e+09,-9.409170103274524877e+01
7.125696666666666985e+09,-9.361048917613479148e+01
7.125760000000000000e+09,-9.392880259156072498e+01
7.125823333333333015e+09,-9.336637299670218226e+01
7.125886666666666985e+09,-9.364124215825859210e+01
7.125950000000000000e+09,-9.501494393038859698e+01
7.126013333333333015e+09,-9.350157189000603353e+01
7.126076666666666985e+09,-9.494690192384470606e+01
7.126140000000000000e+09,-9.378605584490415481e+01
7.126203333333333015e+09,-9.330986746992292069e+01
7.126266666666666985e+09,-9.318038002569601019e+01
7.126330000000000000e+09,-9.452434240555413680e+01
7.126393333333333015e+09,-9.480499322589014355e+01
7.126456666666666985e+09,-9.433871691414006477e+01
7.126520000000000000e+09,-9.362833689481702493e+01
7.126583333333333015e+09,-9.423264854628240528e+01
7.126646666666666985e+09,-9.389005888406947520e+01
7.126710000000000000e+09,-9.426264678255751051e+01
7.126773333333333015e+09,-9.490097300009118442e+01
7.126836666666666985e+09,-9.307333275795635075e+01
7.126900000000000000e+09,-9.364307488385775002e+01
7.126963333333333015e+09,-9.387804546325631350e+01
7.127026666666666985e+09,-9.360201947266949674e+01
7.127090000000000000e+09,-9.404447168835987725e+01
7.127153333333333015e+09,-9.430774749074032570e+01
7.127216666666666985e+09,-9.374675607158721391e+01
7.127280000000000000e+09,-9.371983625120938655e+01
7.127343333333333015e+09,-9.359118112173780446e+01
7.127406666666666985e+09,-9.352101166268587917e+01
7.127470000000000000e+09,-9.533734182149001413e+01
7.127533333333333015e+09,-9.412177825051810487e+01
7.127596666666666985e+09,-9.359789269576546644e+01
7.127660000000000000e+09,-9.414180557503969737e+01
7.127723333333333015e+09,-9.417551838396849462e+01
7.127786666666666985e+09,-9.388944530031638180e+01
7.127850000000000000e+09,-9.508378266952871627e+01
7.127913333333333015e+09,-9.405114838178364778e+01
7.127976666666666985e+09,-9.258786728343213213e+01
7.128040000000000000e+09,-9.309526968871625741e+01
7.128103333333333015e+09,-9.418253250348733729e+01
7.128166666666666985e+09,-9.363360370290955359e+01
7.128230000000000000e+09,-9.449804122186309030e+01
7.128293333333333015e+09,-9.412458065104088689e+01
7.128356666666666985e+09,-9.319994746824862375e+01
7.128420000000000000e+09,-9.412326999933480920e+01
7.128483333333333015e+09,-9.242078310834446597e+01
7.128546666666666985e+09,-9.367972949138815864e+01
7.128610000000000000e+09,-9.530852250133094117e+01
7.128673333333333015e+09,-9.446574776148638364e+01
7.128736666666666985e+09,-9.361965839323035254e+01
7.128800000000000000e+09,-9.317607616252077207e+01
7.128863333333333015e+09,-9.297479020083621037e+01
7.128926666666666985e+09,-9.300530975808312917e+01
7.128990000000000000e+09,-9.452415934207132864e+01
7.129053333333333015e+09,-9.309710895884960280e+01
7.129116666666666985e+09,-9.324969860020674162e+01
7.129180000000000000e+09,-9.390793719106282822e+01
7.129243333333333015e+09,-9.414677583306286124e+01
7.129306666666666985e+09,-9.369661842634754123e+01
7.129370000000000000e+09,-9.470535665377673240e+01
7.129433333333333015e+09,-9.328515985087031481e+01
7.129496666666666985e+09,-9.441609472064291708e+01
7.129560000000000000e+09,-9.364436101106446131e+01
7.129623333333333015e+09,-9.316779016761549315e+01
7.129686666666666985e+09,-9.300424368706782730e+01
7.129750000000000000e+09,-9.454337244057285261e+01
7.129813333333333015e+09,-9.438456175554200911e+01
7.129876666666666985e+09,-9.512812380931674738e+01
7.129940000000000000e+09,-9.365478178477789584e+01
7.130003333333333015e+09,-9.406525157942598980e+01
7.130066666666666985e+09,-9.323294238071727591e+01
7.130130000000000000e+09,-9.285199966502987934e+01
7.130193333333333015e+09,-9.573271010457121122e+01
7.130256666666666985e+09,-9.400983827698374284e+01
7.130320000000000000e+09,-9.374524727869327023e+01
7.130383333333333015e+09,-9.280358428669802606e+01
7.130446666666666985e+09,-9.523509100369815883e+01
7.130510000000000000e+09,-9.390813973635189882e+01
7.130573333333333015e+09,-9.343610916266739252e+01
7.130636666666666985e+09,-9.369770308547927584e+01
7.130700000000000000e+09,-9.350570577031697894e+01
7.130763333333333015e+09,-9.375176283688725221e+01
7.130826666666666985e+09,-9.485207429500577803e+01
7.130890000000000000e+09,-9.401209272831032138e+01
7.130953333333333015e+09,-9.429345918524417414e+01
7.131016666666666985e+09,-9.275956168345575747e+01
7.131080000000000000e+09,-9.365560211118972234e+01
7.131143333333333015e+09,-9.394961062565764109e+01
7.131206666666666985e+09,-9.355258396983158775e+01
7.131270000000000000e+09,-9.440230850821160402e+01
7.131333333333333015e+09,-9.373591253552591240e+01
7.131396666666666985e+09,-9.425125587771297830e+01
7.131460000000000000e+09,-9.480457726170251931e+01
7.131523333333333015e+09,-9.367383944302676468e+01
7.131586666666666985e+09,-9.364026415331511544e+01
7.131650000000000000e+09,-9.514614186258498307e+01
7.131713333333333015e+09,-9.462254044962038790e+01
7.131776666666666985e+09,-9.383313905806741673e+01
7.131840000000000000e+09,-9.472850150277406556e+01
7.131903333333333015e+09,-9.432142160898482075e+01
7.131966666666666985e+09,-9.382645775710003022e+01
7.132030000000000000e+09,-9.461218869431542089e+01
7.132093333333333015e+09,-9.311363261876829256e+01
7.132156666666666985e+09,-9.397043016844675378e+01
7.132220000000000000e+09,-9.418956516413794589e+01
7.132283333333333015e+09,-9.334903477747047873e+01
7.132346666666666985e+09,-9.352428684553123617e+01
7.132410000000000000e+09,-9.437716285936032534e+01
7.132473333333333015e+09,-9.384779351357657617e+01
7.132536666666666985e+09,-9.477545494909531953e+01
7.132600000000000000e+09,-9.429681723295371398e+01
7.132663333333333015e+09,-9.417449246329526602e+01
7.132726666666666985e+09,-9.449605894978327569e+01
7.132790000000000000e+09,-9.322146518898897227e+01
7.132853333333333015e+09,-9.373870538768686345e+01
7.132916666666666985e+09,-9.471064199219378565e+01
7.132980000000000000e+09,-9.502839477363033893e+01
7.133043333333333015e+09,-9.386175164875601240e+01
7.133106666666666985e+09,-9.406450486628668273e+01
7.133170000000000000e+09,-9.292083548797621972e+01
7.133233333333333015e+09,-9.486950597968925081e+01
7.133296666666666985e+09,-9.320277115540574187e+01
7.133360000000000000e+09,-9.409739363775349830e+01
7.133423333333333015e+09,-9.434108376643784766e+01
7.133486666666666985e+09,-9.436598391471251546e+01
7.133550000000000000e+09,-9.384639323930768740e+01
7.133613333333333015e+09,-9.276678164041717878e+01
7.133676666666666985e+09,-9.379002609048058048e+01
7.133740000000000000e+09,-9.332412727616647885e+01
7.133803333333333015e+09,-9.387196177922675133e+01
7.133866666666666985e+09,-9.326570446324068087e+01
7.133930000000000000e+09,-9.466253863773219734e+01
