# freq_Hz, phase_rad_detrended, phase_rad
7.125000000000000000e+09,7.042233970298861223e-02,-2.271187239009341052e+00
7.125063333333333015e+09,6.810785184576406692e-02,-2.297366323441795366e+00
7.125126666666666985e+09,5.582173647841282005e-02,-2.333517035384369276e+00
7.125190000000000000e+09,4.516943316874044712e-02,-2.368033935269271417e+00
7.125253333333333015e+09,8.430175735660316860e-02,-2.352766207656638464e+00
7.125316666666666985e+09,8.052988703670749260e-02,-2.380402674552097864e+00
7.125380000000000000e+09,6.527581894811529395e-02,-2.419521339215578770e+00
7.125443333333333015e+09,7.883118292048907350e-02,-2.429830571818434759e+00
7.125506666666666985e+09,7.284359437253318248e-02,-2.459682756941954374e+00
7.125570000000000000e+09,7.852114996422043802e-02,-2.477869797925162931e+00
7.125633333333333015e+09,6.462649764923567020e-02,-2.515629046815370362e+00
7.125696666666666985e+09,6.235984518117332343e-02,-2.541760295858996432e+00
7.125760000000000000e+09,5.877092429466612700e-02,-2.569213813320399442e+00
7.125823333333333015e+09,3.441217844701771611e-02,-2.617437155743277621e+00
7.125886666666666985e+09,7.593441876606155105e-02,-2.599779511999797510e+00
7.125950000000000000e+09,8.281538543756949977e-02,-2.616763141903178269e+00
7.126013333333333015e+09,9.553369730491834133e-02,-2.627909426611059196e+00
7.126076666666666985e+09,2.996805774839383929e-02,-2.717339662743147422e+00
7.126140000000000000e+09,4.229946279896878991e-02,-2.728872854267802239e+00
7.126203333333333015e+09,4.501761978168028477e-02,-2.750019293859979452e+00
7.126266666666666985e+09,4.580377475696728595e-02,-2.773097735460256175e+00
7.126330000000000000e+09,5.650573309258843935e-02,-2.786260373699864790e+00
7.126393333333333015e+09,6.893448065719676165e-02,-2.797696222710152281e+00
7.126456666666666985e+09,4.109252835343824017e-02,-2.849402771589474526e+00
7.126520000000000000e+09,8.397113413634516021e-02,-2.830388762381790269e+00
7.126583333333333015e+09,7.303182603010416329e-02,-2.865192667062927079e+00
7.126646666666666985e+09,6.891640361326301090e-02,-2.893172686055331955e+00
7.126710000000000000e+09,6.624377808761128250e-02,-2.919709908156213451e+00
7.126773333333333015e+09,4.416121109041037940e-02,-2.965657071728637018e+00
7.126836666666666985e+09,2.038202919889275933e-02,-3.013300850195384406e+00
7.126900000000000000e+09,5.583670380901484265e-02,-3.001710772160492091e+00
7.126963333333333015e+09,5.350115704319868826e-02,-3.027910915501538014e+00
7.127026666666666985e+09,5.195433475482769126e-02,-3.053322334365138779e+00
7.127090000000000000e+09,5.732923040065163178e-02,-3.071812035294537502e+00
7.127153333333333015e+09,5.340232583984816372e-02,-3.099603536430570738e+00
7.127216666666666985e+09,9.050798183417052556e-02,-3.086362477011812100e+00
7.127280000000000000e+09,4.355460891273077451e-02,-3.157180446508147664e+00
7.127343333333333015e+09,3.283658134599765077e-02,-3.191763070650103451e+00
7.127406666666666985e+09,5.995399216055563585e-02,-3.188510256411109189e+00
7.127470000000000000e+09,3.093859543161769921e-03,-3.269234985603398869e+00
7.127533333333333015e+09,6.260274757659267664e-02,-3.233590694145197730e+00
7.127596666666666985e+09,3.752625239916262956e-02,-3.282531785898191501e+00
7.127660000000000000e+09,9.201173649839944346e-02,-3.251910898373843395e+00
7.127723333333333015e+09,5.962542744015486562e-02,-3.308161804007317741e+00
7.127786666666666985e+09,5.603014093897895620e-02,-3.335621687084057374e+00
7.127850000000000000e+09,4.754462247592705637e-02,-3.367971802122005087e+00
7.127913333333333015e+09,6.781970540622817012e-02,-3.371561315766926636e+00
7.127976666666666985e+09,3.885040454667354481e-02,-3.424395213202044985e+00
7.128040000000000000e+09,6.411184242282130796e-02,-3.422998371901126990e+00
7.128103333333333015e+09,3.958592328375587499e-02,-3.471388887615088237e+00
7.128166666666666985e+09,5.124370555757495893e-02,-3.483595701916825771e+00
7.128230000000000000e+09,6.482283200183180938e-02,-3.493881172047798689e+00
7.128293333333333015e+09,5.109524165184264888e-02,-3.531473358972683663e+00
7.128356666666666985e+09,6.524143409757732215e-02,-3.541191763102512713e+00
7.128420000000000000e+09,7.345349095044362286e-02,-3.556844302824876181e+00
7.128483333333333015e+09,6.418991894924008790e-02,-3.589972471400968423e+00
7.128546666666666985e+09,4.936902865244885419e-02,-3.628657958273323381e+00
7.128610000000000000e+09,4.836090762118194775e-02,-3.653530675879820055e+00
7.128673333333333015e+09,3.978350756844939440e-02,-3.685972672507782377e+00
7.128736666666666985e+09,8.468617288356128370e-02,-3.664934603767893151e+00
7.128800000000000000e+09,9.169639394701700752e-02,-3.681788979279667195e+00
7.128863333333333015e+09,7.357898015264696667e-02,-3.723770989649267005e+00
7.128926666666666985e+09,5.734647690630900740e-02,-3.763868089470834732e+00
7.128990000000000000e+09,4.410270372992064480e-02,-3.800976459222445758e+00
7.129053333333333015e+09,7.919273041568963833e-02,-3.789751029111906533e+00
7.129116666666666985e+09,7.949878740579219283e-02,-3.813309568697033747e+00
7.129180000000000000e+09,7.147474840103296145e-02,-3.845198204277022747e+00
7.129243333333333015e+09,6.585068432799756621e-02,-3.874686864925287910e+00
7.129306666666666985e+09,3.627552682197210387e-02,-3.928126619006869991e+00
7.129370000000000000e+09,4.877219073581073872e-02,-3.939494551667927169e+00
7.129433333333333015e+09,6.843760941126086905e-02,-3.943693729567706807e+00
7.129496666666666985e+09,3.810621651956891398e-02,-3.997889719034962486e+00
7.129560000000000000e+09,6.133109184180129958e-02,-3.998529440287618808e+00
7.129623333333333015e+09,3.473835061328145457e-02,-4.048986778091368421e+00
7.129686666666666985e+09,4.928383098757294078e-02,-4.058305894292640659e+00
7.129750000000000000e+09,5.176882622907008624e-02,-4.079685495626039327e+00
7.129813333333333015e+09,6.820384176307658919e-02,-4.087115076667262592e+00
7.129876666666666985e+09,6.358503997049158585e-02,-4.115598475035404213e+00
7.129940000000000000e+09,3.750248173621351100e-02,-4.165545629844912057e+00
7.130003333333333015e+09,4.384049247286458950e-02,-4.183072215683156791e+00
7.130066666666666985e+09,3.160060723753765899e-02,-4.219176697494047446e+00
7.130130000000000000e+09,6.100488501045298051e-02,-4.213637016296354787e+00
7.130193333333333015e+09,4.610179153559013088e-02,-4.252404706346113450e+00
7.130256666666666985e+09,4.946891516147999823e-02,-4.272902179295787306e+00
7.130320000000000000e+09,4.165290936431631508e-02,-4.304582781668180758e+00
7.130383333333333015e+09,6.027240173763992459e-02,-4.309827885869745856e+00
7.130446666666666985e+09,3.489621520965346946e-02,-4.359068668973296035e+00
7.130510000000000000e+09,8.299015985588553690e-02,-4.334839320902293736e+00
7.130573333333333015e+09,6.255385667280943807e-02,-4.379140220660599603e+00
7.130636666666666985e+09,7.141101356467949302e-02,-4.394147660343959316e+00
7.130700000000000000e+09,5.767347040353776322e-02,-4.431749800080323709e+00
7.130763333333333015e+09,6.339733071362818606e-02,-4.449890536345463055e+00
7.130826666666666985e+09,4.842504934707214659e-02,-4.488727414287248862e+00
7.130890000000000000e+09,4.250784506070459656e-02,-4.518509215148846181e+00
7.130953333333333015e+09,5.672626911487377299e-02,-4.528155387669899667e+00
7.131016666666666985e+09,5.140536993752675698e-02,-4.557340883422476452e+00
7.131080000000000000e+09,6.502667991757427046e-02,-4.567584170017658707e+00
7.131143333333333015e+09,7.641477643212457593e-02,-4.580060670078338170e+00
7.131206666666666985e+09,3.347500631460675891e-02,-4.646865036771419710e+00
7.131270000000000000e+09,5.615169357691396357e-02,-4.648052946084001213e+00
7.131333333333333015e+09,4.627174881593987266e-02,-4.681797487420205073e+00
7.131396666666666985e+09,7.155626930399439090e-02,-4.680377563507714278e+00
7.131460000000000000e+09,7.900807452243263640e-02,-4.696790354864171846e+00
7.131523333333333015e+09,5.229594341816579117e-02,-4.747367082543661354e+00
7.131586666666666985e+09,1.289741324715851789e-01,-4.694553490065805690e+00
7.131650000000000000e+09,7.002085033741334286e-02,-4.777371368774873339e+00
7.131713333333333015e+09,5.498579719740348537e-02,-4.816271018490112965e+00
7.131776666666666985e+09,4.637966234750656724e-02,-4.848741749915573607e+00
7.131840000000000000e+09,5.457761062218580150e-02,-4.864408398216117035e+00
7.131903333333333015e+09,6.111304624020164056e-02,-4.881737559172997010e+00
7.131966666666666985e+09,3.833855753346515627e-02,-4.928376644455297217e+00
7.132030000000000000e+09,7.783160482498274746e-02,-4.912748193739009395e+00
7.132093333333333015e+09,5.748945214807754667e-02,-4.956954942990803303e+00
7.132156666666666985e+09,3.882485857818629427e-02,-4.999484133136258279e+00
7.132220000000000000e+09,4.288745013051986632e-02,-5.019286138159154476e+00
7.132283333333333015e+09,6.948290329110839991e-02,-5.016555281573461755e+00
7.132346666666666985e+09,3.994377375065027991e-02,-5.069959007689483599e+00
7.132410000000000000e+09,4.732851838382412524e-02,-5.086438859631532416e+00
7.132473333333333015e+09,5.277420071025851200e-02,-5.104857773880327798e+00
7.132536666666666985e+09,4.928907134870286200e-02,-5.132207499817113217e+00
7.132600000000000000e+09,6.652109143456641505e-02,-5.138840076306479432e+00
7.132663333333333015e+09,3.804365779993545971e-03,-5.225421398536274964e+00
7.132726666666666985e+09,4.288417332824767669e-02,-5.210206187563250602e+00
7.132790000000000000e+09,7.034088680475569788e-02,-5.206614070661972349e+00
7.132853333333333015e+09,2.769833017259326624e-02,-5.273121223869364549e+00
