# freq_Hz, amplitude_dBm
# # measure_total_dBm=-10.000000
6.750000000000000000e+09,-6.672680539736292360e+01
6.750150000000000000e+09,-6.671259732300812573e+01
6.750300000000000000e+09,-6.671945647919569922e+01
6.750450000000000000e+09,-6.672027758548681220e+01
6.750600000000000000e+09,-6.673202026408486631e+01
6.750750000000000000e+09,-6.673208004863090537e+01
6.750900000000000000e+09,-6.672932989135335902e+01
6.751050000000000000e+09,-6.674010966716708992e+01
6.751200000000000000e+09,-6.673465090704115710e+01
6.751350000000000000e+09,-6.674042131727173910e+01
6.751500000000000000e+09,-6.674042409389168995e+01
6.751650000000000000e+09,-6.674126692940390626e+01
6.751800000000000000e+09,-6.674352530404965478e+01
6.751950000000000000e+09,-6.673667736958908847e+01
6.752100000000000000e+09,-6.673526305126777913e+01
6.752250000000000000e+09,-6.673489953633576022e+01
6.752400000000000000e+09,-6.672688725612685801e+01
6.752550000000000000e+09,-6.672175032174396847e+01
6.752700000000000000e+09,-6.672074076986049818e+01
6.752850000000000000e+09,-6.671288860827381484e+01
6.753000000000000000e+09,-6.670415434336699434e+01
6.753150000000000000e+09,-6.669499708306693719e+01
6.753300000000000000e+09,-6.668801261075178388e+01
6.753450000000000000e+09,-6.667594743596531259e+01
6.753600000000000000e+09,-6.667298772004181728e+01
6.753750000000000000e+09,-6.666055095057838287e+01
6.753900000000000000e+09,-6.665056782626963638e+01
6.754050000000000000e+09,-6.663809735633591913e+01
6.754200000000000000e+09,-6.663104687314955754e+01
6.754350000000000000e+09,-6.661319865415930508e+01
6.754500000000000000e+09,-6.660651036004655623e+01
6.754650000000000000e+09,-6.659245430781574271e+01
6.754800000000000000e+09,-6.657939928918601424e+01
6.754950000000000000e+09,-6.656681718959387695e+01
6.755100000000000000e+09,-6.655286866313967664e+01
6.755250000000000000e+09,-6.653909563442257991e+01
6.755400000000000000e+09,-6.652691179257081444e+01
6.755550000000000000e+09,-6.651180187765235985e+01
6.755700000000000000e+09,-6.649561265410197564e+01
6.755850000000000000e+09,-6.647546694128934064e+01
6.756000000000000000e+09,-6.646230355305524995e+01
6.756150000000000000e+09,-6.644212252522481776e+01
6.756300000000000000e+09,-6.643525847999549683e+01
6.756450000000000000e+09,-6.641727880150141061e+01
6.756600000000000000e+09,-6.639907944485861435e+01
6.756750000000000000e+09,-6.638636369882483734e+01
6.756900000000000000e+09,-6.636725797141291139e+01
6.757050000000000000e+09,-6.635279132049797113e+01
6.757200000000000000e+09,-6.633814682535738427e+01
6.757350000000000000e+09,-6.631847568121769143e+01
6.757500000000000000e+09,-6.630262854635950021e+01
6.757650000000000000e+09,-6.627624729400174886e+01
6.757800000000000000e+09,-6.626334877491379416e+01
6.757950000000000000e+09,-6.624575568843182793e+01
6.758100000000000000e+09,-6.622736575498655043e+01
6.758250000000000000e+09,-6.620991455505047441e+01
6.758400000000000000e+09,-6.618565471854185489e+01
6.758550000000000000e+09,-6.616417681883370960e+01
6.758700000000000000e+09,-6.614753339000431254e+01
6.758850000000000000e+09,-6.613452347026945688e+01
6.759000000000000000e+09,-6.611220597089013040e+01
6.759150000000000000e+09,-6.609225069171542088e+01
6.759300000000000000e+09,-6.607299536532249817e+01
6.759450000000000000e+09,-6.604741342864799947e+01
6.759600000000000000e+09,-6.603513559375842590e+01
6.759750000000000000e+09,-6.601634308812631957e+01
6.759900000000000000e+09,-6.599524780184231076e+01
6.760050000000000000e+09,-6.598100611772679258e+01
6.760200000000000000e+09,-6.595955651457714453e+01
6.760350000000000000e+09,-6.594442399983370251e+01
6.760500000000000000e+09,-6.592552775361136241e+01
6.760650000000000000e+09,-6.590825417713426759e+01
6.760800000000000000e+09,-6.589026536229695807e+01
6.760950000000000000e+09,-6.587322754479083642e+01
6.761100000000000000e+09,-6.585896921741594667e+01
6.761250000000000000e+09,-6.583760851132569769e+01
6.761400000000000000e+09,-6.582533273940077834e+01
6.761550000000000000e+09,-6.581021875588459125e+01
6.761700000000000000e+09,-6.578952289707922318e+01
6.761850000000000000e+09,-6.577678252193904029e+01
6.762000000000000000e+09,-6.576498255047728492e+01
6.762150000000000000e+09,-6.574466141132138830e+01
6.762300000000000000e+09,-6.572893323559509327e+01
6.762450000000000000e+09,-6.572121274819267001e+01
6.762600000000000000e+09,-6.570779061747073513e+01
6.762750000000000000e+09,-6.569539777638726719e+01
6.762900000000000000e+09,-6.568367256185986491e+01
6.763050000000000000e+09,-6.567191427872606369e+01
6.763200000000000000e+09,-6.566124217453109679e+01
6.763350000000000000e+09,-6.565285216267029966e+01
6.763500000000000000e+09,-6.563733772740813777e+01
6.763650000000000000e+09,-6.562939507424252383e+01
6.763800000000000000e+09,-6.561529490146807575e+01
6.763950000000000000e+09,-6.560924535099047716e+01
6.764100000000000000e+09,-6.560287807412908023e+01
6.764250000000000000e+09,-6.559449555716165037e+01
6.764400000000000000e+09,-6.558330703085489688e+01
6.764550000000000000e+09,-6.558348134693446241e+01
6.764700000000000000e+09,-6.557128448005245502e+01
6.764850000000000000e+09,-6.556517378396830509e+01
6.765000000000000000e+09,-6.556054750260445019e+01
6.765150000000000000e+09,-6.555794074782464520e+01
6.765300000000000000e+09,-6.555386294953007109e+01
6.765450000000000000e+09,-6.555626191448268969e+01
6.765600000000000000e+09,-6.555198374969050690e+01
6.765750000000000000e+09,-6.555129977066840752e+01
6.765900000000000000e+09,-6.555502410276433523e+01
6.766050000000000000e+09,-6.554740169241061665e+01
6.766200000000000000e+09,-6.555474161643776654e+01
6.766350000000000000e+09,-6.555389527326970267e+01
6.766500000000000000e+09,-6.555772783536515647e+01
6.766650000000000000e+09,-6.555548297789303547e+01
6.766800000000000000e+09,-6.556482937385715104e+01
6.766950000000000000e+09,-6.557172923431487277e+01
6.767100000000000000e+09,-6.557386690678590924e+01
6.767250000000000000e+09,-6.557378466628544800e+01
6.767400000000000000e+09,-6.558411782213732977e+01
6.767550000000000000e+09,-6.558929828402743567e+01
6.767700000000000000e+09,-6.559391708641447849e+01
6.767850000000000000e+09,-6.560331324177990098e+01
6.768000000000000000e+09,-6.560972048701636083e+01
6.768150000000000000e+09,-6.562065804639259170e+01
6.768300000000000000e+09,-6.562896016082828510e+01
6.768450000000000000e+09,-6.563725321212703534e+01
6.768600000000000000e+09,-6.564638249828470862e+01
6.768750000000000000e+09,-6.565368437765340559e+01
6.768900000000000000e+09,-6.566530026935409126e+01
6.769050000000000000e+09,-6.567687235772380916e+01
6.769200000000000000e+09,-6.569404372495645816e+01
6.769350000000000000e+09,-6.569900248763357808e+01
6.769500000000000000e+09,-6.571337812316825477e+01
6.769650000000000000e+09,-6.572824557982985993e+01
6.769800000000000000e+09,-6.574521852757899865e+01
6.769950000000000000e+09,-6.575711955496666405e+01
6.770100000000000000e+09,-6.576815228927482337e+01
6.770250000000000000e+09,-6.578268915360189339e+01
6.770400000000000000e+09,-6.579486243846783111e+01
6.770550000000000000e+09,-6.580946130535411953e+01
6.770700000000000000e+09,-6.582667231475983272e+01
6.770850000000000000e+09,-6.584161846549703512e+01
6.771000000000000000e+09,-6.586167227411601743e+01
6.771150000000000000e+09,-6.587404567531240218e+01
6.771300000000000000e+09,-6.589594064179767940e+01
6.771450000000000000e+09,-6.591044475587614215e+01
6.771600000000000000e+09,-6.592484609470207602e+01
6.771750000000000000e+09,-6.594311557092527210e+01
6.771900000000000000e+09,-6.596434401821896643e+01
6.772050000000000000e+09,-6.597872971392386887e+01
6.772200000000000000e+09,-6.599810205516776307e+01
6.772350000000000000e+09,-6.601587209974650250e+01
6.772500000000000000e+09,-6.604093765739091282e+01
6.772650000000000000e+09,-6.606197171380389932e+01
6.772800000000000000e+09,-6.608377759254136663e+01
6.772950000000000000e+09,-6.611134953253068147e+01
6.773100000000000000e+09,-6.613480094859914971e+01
6.773250000000000000e+09,-6.615640608743828466e+01
6.773400000000000000e+09,-6.618502677250737065e+01
6.773550000000000000e+09,-6.622897710793695580e+01
6.773700000000000000e+09,-6.626495136492914639e+01
6.773850000000000000e+09,-6.633548731685203848e+01
