# freq_Hz, abs_amp(|S21|), amplitude_dBm
7.001993047882245064e+09,2.632662681744197908e-06,-9.858179569710542012e+01
7.001995447882245064e+09,2.701251992017304246e-06,-9.835839804019001065e+01
7.001997847882245064e+09,2.678444737385749418e-06,-9.843204623766509087e+01
7.002000247882245064e+09,2.682479529346328805e-06,-9.841897171448374593e+01
7.002002647882245064e+09,2.628579457337092470e-06,-9.859527785312515391e+01
7.002005047882245064e+09,2.676990401577317927e-06,-9.843676376306179066e+01
7.002007447882245064e+09,2.609604054190237310e-06,-9.865820767532918012e+01
7.002009847882245064e+09,2.656368521754517618e-06,-9.850393354011706037e+01
7.002012247882245064e+09,2.632305883901839406e-06,-9.858297295263807314e+01
7.002014647882245064e+09,2.649878999957904455e-06,-9.852517917481533516e+01
7.002017047882245064e+09,2.655244742439894592e-06,-9.850760889175299440e+01
7.002019447882245064e+09,2.632305285551063740e-06,-9.858297492703223952e+01
7.002021847882245064e+09,2.649386069828419150e-06,-9.852679507311819407e+01
7.002024247882245064e+09,2.670105220151351603e-06,-9.845913252669993199e+01
7.002026647882245064e+09,2.599856923676404510e-06,-9.869071107600211690e+01
7.002029047882245064e+09,2.628735393360900711e-06,-9.859476259271855270e+01
7.002031447882245064e+09,2.633546293267594192e-06,-9.857888090497181111e+01
7.002033847882245064e+09,2.620357179561340305e-06,-9.862249016704299720e+01
7.002036247882245064e+09,2.582345032557674757e-06,-9.874941466720896699e+01
7.002038647882245064e+09,2.607086996888092277e-06,-9.866658957236762717e+01
7.002041047882245064e+09,2.634050649847267076e-06,-9.857721760929828747e+01
7.002043447882245064e+09,2.593063624890805887e-06,-9.871343658340708771e+01
7.002045847882245064e+09,2.555961934028519970e-06,-9.883861241172735390e+01
7.002048247882245064e+09,2.582029847365560330e-06,-9.875047487831341186e+01
7.002050647882245064e+09,2.621517967605216762e-06,-9.861864326999794628e+01
7.002053047882245064e+09,2.672797682164740616e-06,-9.845037832311052739e+01
7.002055447882245064e+09,2.643160522395833001e-06,-9.854722925992552973e+01
7.002057847882245064e+09,2.610501306180295736e-06,-9.865522174638640251e+01
7.002060247882245064e+09,2.587785745792493644e-06,-9.873113371681120043e+01
7.002062647882245064e+09,2.565290577684696799e-06,-9.880696872350716831e+01
7.002065047882245064e+09,2.608619253153208102e-06,-9.866148613725800942e+01
7.002067447882245064e+09,2.460947598325967176e-06,-9.916765271851312491e+01
7.002069847882245064e+09,2.578570916655264398e-06,-9.876211844319595912e+01
7.002072247882245064e+09,2.586992701119037415e-06,-9.873379597516149886e+01
